;Slovo;Slovný druh-Majka;Slovo2;Slovný druh-SNK;Jazykový štýl
0;Kde;Príslovka;Kde;Zámeno;NEVIEM
1;tá;Zámeno;tá;Zámeno;NEVIEM
2;ľudská;Prídavné meno;ľudská;Prídavné meno;NEVIEM
3;duša;Podstatné meno;duša;Podstatné meno;NEVIEM
4;drieme;Sloveso;drieme;Sloveso;NEVIEM
5;Prečo;Príslovka;Prečo;Zámeno;NEVIEM
6;to;Zámeno;to;Zámeno;NEVIEM
7;tu;Príslovka;tu;Častica;NEVIEM
8;píšem;Sloveso;píšem;Sloveso;NEVIEM
9;Prečo;Príslovka;Prečo;Zámeno;NEVIEM
10;je;Sloveso;je;Sloveso;NEVIEM
11;dnešný;Prídavné meno;dnešný;Prídavné meno;NEVIEM
12;humor;Podstatné meno;humor;Podstatné meno;NEVIEM
13;suchý;Prídavné meno;suchý;Prídavné meno;NEVIEM
14;Aby;Spojka;Aby;Spojka;NEVIEM
15;sa;Zámeno;sa;Zvratné zámeno;NEVIEM
16;ľudia;Podstatné meno;ľudia;Podstatné meno;NEVIEM
17;mohli;Sloveso;mohli;Sloveso;NEVIEM
18;smiať;Sloveso;smiať;Sloveso;NEVIEM
19;Prečo;Príslovka;Prečo;Zámeno;NEVIEM
20;nás;Zámeno;nás;Zámeno;NEVIEM
21;Prečo;Príslovka;Prečo;Zámeno;NEVIEM
22;existuje;Sloveso;existuje;Sloveso;NEVIEM
23;láska;Podstatné meno;láska;Podstatné meno;NEVIEM
24;Vhodná;Prídavné meno;Vhodná;Prídavné meno;NEVIEM
25;je;Sloveso;je;Sloveso;NEVIEM
26;paralela;Podstatné meno;paralela;Podstatné meno;NEVIEM
27;z;Podstatné meno;z;Predložka;NEVIEM
28;čias;Podstatné meno;čias;Podstatné meno;NEVIEM
29;môjho;Zámeno;môjho;Zámeno;NEVIEM
30;starého;Podstatné meno;starého;Prídavné meno;NEVIEM
31;otca;Podstatné meno;otca;Podstatné meno;NEVIEM
32;Spustili;Sloveso;Spustili;Sloveso;NEVIEM
33;novú;Prídavné meno;novú;Prídavné meno;NEVIEM
34;internetovú;Prídavné meno;internetovú;Prídavné meno;NEVIEM
35;televíziu;Podstatné meno;televíziu;Podstatné meno;NEVIEM
36;odpoveď;Podstatné meno;odpoveď;Podstatné meno;NEVIEM
37;Autobusy;Podstatné meno;Autobusy;Podstatné meno;NEVIEM
38;sú;Sloveso;sú;Sloveso;NEVIEM
39;pohodlím;Podstatné meno;pohodlím;Podstatné meno;NEVIEM
40;na;Citoslovce;na;Predložka;NEVIEM
41;európskej;Prídavné meno;európskej;Prídavné meno;NEVIEM
42;úrovni;Podstatné meno;úrovni;Podstatné meno;NEVIEM
43;Iných;Prídavné meno;Iných;Zámeno;NEVIEM
44;stopárov;Podstatné meno;stopárov;Podstatné meno;NEVIEM
45;som;Sloveso;som;Sloveso;NEVIEM
46;tu;Príslovka;tu;Zámeno;NEVIEM
47;zatiaľ;Príslovka;zatiaľ;Zámeno;NEVIEM
48;ešte;Príslovka;ešte;Príslovka;NEVIEM
49;Bohužiaľ;Častice;Bohužiaľ;Častica;NEVIEM
50;posiela;Sloveso;posiela;Sloveso;NEVIEM
51;späť;Príslovka;späť;Príslovka;NEVIEM
52;na;Citoslovce;na;Predložka;NEVIEM
53;vajíčko;Podstatné meno;vajíčko;Podstatné meno;NEVIEM
54;Na;Skratka;Na;Predložka;NEVIEM
55;zastávke;Podstatné meno;zastávke;Podstatné meno;NEVIEM
56;na;Citoslovce;na;Predložka;NEVIEM
57;Záhradkách;Podstatné meno;Záhradkách;Podstatné meno;NEVIEM
58;nás;Zámeno;nás;Zámeno;NEVIEM
59;čakal;Sloveso;čakal;Sloveso;NEVIEM
60;veľmi;Príslovka;veľmi;Príslovka;NEVIEM
61;zaujímavý;Prídavné meno;zaujímavý;Prídavné meno;NEVIEM
62;pohľad;Podstatné meno;pohľad;Podstatné meno;NEVIEM
63;Bežné;Prídavné meno;Bežné;Prídavné meno;NEVIEM
64;prachovky;Podstatné meno;prachovky;Podstatné meno;NEVIEM
65;naňho;Zámeno;naňho;Zámeno;NEVIEM
66;chcela;Sloveso;chcela;Sloveso;NEVIEM
67;vyhrávať;Sloveso;vyhrávať;Sloveso;NEVIEM
68;A;Spojka;A;Spojka;NEVIEM
69;vyhrávam;Sloveso;vyhrávam;Sloveso;NEVIEM
70;slovenskej;Prídavné meno;slovenskej;Prídavné meno;naucny_historia
71;kultúrnej;Prídavné meno;kultúrnej;Prídavné meno;naucny_historia
72;histórie;Podstatné meno;histórie;Podstatné meno;naucny_historia
73;Od;Predložka;Od;Predložka;naucny_historia
74;tej;Zámeno;tej;Zámeno;naucny_historia
75;chvíle;Podstatné meno;chvíle;Podstatné meno;naucny_historia
76;vstupuje;Sloveso;vstupuje;Sloveso;naucny_historia
77;do;Citoslovce;do;Predložka;naucny_historia
78;hry;Podstatné meno;hry;Podstatné meno;naucny_historia
79;slovenská;Prídavné meno;slovenská;Prídavné meno;naucny_historia
80;časť;Podstatné meno;časť;Podstatné meno;naucny_historia
81;Uhorska;Podstatné meno;Uhorska;Podstatné meno;naucny_historia
82;Do;Citoslovce;Do;Predložka;naucny_historia
83;slovenských;Prídavné meno;slovenských;Prídavné meno;naucny_historia
84;častí;Prídavné meno;častí;Podstatné meno;naucny_historia
85;Uhorska;Podstatné meno;Uhorska;Podstatné meno;naucny_historia
86;sa;Zámeno;sa;Zvratné zámeno;naucny_historia
87;vtedy;Príslovka;vtedy;Zámeno;naucny_historia
88;utiahla;Sloveso;utiahla;Sloveso;naucny_historia
89;jedna;Číslovka;jedna;Číslovka;naucny_historia
90;časť;Podstatné meno;časť;Podstatné meno;naucny_historia
91;českých;Prídavné meno;českých;Prídavné meno;naucny_historia
92;tu;Príslovka;tu;Zámeno;naucny_historia
93;našli;Sloveso;našli;Sloveso;naucny_historia
94;v;Predložka;v;Predložka;naucny_historia
95;používaní;Podstatné meno;používaní;Podstatné meno;naucny_historia
96;svoj;Zámeno;svoj;Zámeno;naucny_historia
97;vlastný;Prídavné meno;vlastný;Prídavné meno;naucny_historia
98;spisovný;Prídavné meno;spisovný;Prídavné meno;naucny_historia
99;jazyk;Podstatné meno;jazyk;Podstatné meno;naucny_historia
100;presne;Príslovka;presne;Častica;naucny_historia
101;tak;Príslovka;tak;Zámeno;naucny_historia
102;ako;Spojka;ako;Zámeno;naucny_historia
103;vo;Predložka;vo;Predložka;naucny_historia
104;svojej;Zámeno;svojej;Zámeno;naucny_historia
105;českej;Prídavné meno;českej;Prídavné meno;naucny_historia
106;vlasti;Podstatné meno;vlasti;Podstatné meno;naucny_historia
107;Podľa;Predložka;Podľa;Predložka;naucny_historia
108;princípu;Podstatné meno;princípu;Podstatné meno;naucny_historia
109;siedmich;Číslovka;siedmich;Číslovka;naucny_historia
110;slobodných;Prídavné meno;slobodných;Prídavné meno;naucny_historia
111;umení;Podstatné meno;umení;Podstatné meno;naucny_historia
112;prvým;Číslovka;prvým;Číslovka;naucny_historia
113;stupňom;Podstatné meno;stupňom;Podstatné meno;naucny_historia
114;Európska;Prídavné meno;Európska;Prídavné meno;naucny_historia
115;únia;Podstatné meno;únia;Podstatné meno;naucny_historia
116;čiže;Spojka;čiže;Spojka;naucny_historia
117;na;Citoslovce;na;Predložka;naucny_historia
118;drobné;Podstatné meno;drobné;Prídavné meno;naucny_historia
119;mince;Podstatné meno;mince;Podstatné meno;naucny_historia
120;Toto;Zámeno;Toto;Zámeno;naucny_historia
121;veľmi;Príslovka;veľmi;Príslovka;naucny_historia
122;príjemné;Prídavné meno;príjemné;Prídavné meno;naucny_historia
123;pokiaľ;Zámeno;pokiaľ;Spojka;naucny_historia
124;ide;Sloveso;ide;Sloveso;naucny_historia
125;o;Citoslovce;o;Predložka;naucny_historia
126;poriadneho;Prídavné meno;poriadneho;Prídavné meno;naucny_historia
127;občana;Podstatné meno;občana;Podstatné meno;naucny_historia
128;ktorý;Zámeno;ktorý;Zámeno;naucny_historia
129;cestuje;Sloveso;cestuje;Sloveso;naucny_historia
130;za;Predložka;za;Predložka;naucny_historia
131;svojím;Zámeno;svojím;Zámeno;naucny_historia
132;obchodom;Podstatné meno;obchodom;Podstatné meno;naucny_historia
133;alebo;Spojka;alebo;Spojka;naucny_historia
134;za;Predložka;za;Predložka;naucny_historia
135;svojou;Zámeno;svojou;Zámeno;naucny_historia
136;dovolenkou;Podstatné meno;dovolenkou;Podstatné meno;naucny_historia
137;Ľubomír;Podstatné meno;Ľubomír;Podstatné meno;naucny_historia
138;začiatok;Podstatné meno;začiatok;Podstatné meno;naucny_historia
139;pojmu;Podstatné meno;pojmu;Podstatné meno;naucny_historia
140;česko;Častice;česko;Neurčiteľný slovný druh;naucny_historia
141;slovenský;Prídavné meno;slovenský;Prídavné meno;naucny_historia
142;vedomý;Prídavné meno;vedomý;Prídavné meno;naucny_historia
143;že;Spojka;že;Spojka;naucny_historia
144;meno;Podstatné meno;meno;Podstatné meno;naucny_historia
145;Slovákov;Podstatné meno;Slovákov;Podstatné meno;naucny_historia
146;treba;Príslovka;treba;Príslovka;naucny_historia
147;aj;Citoslovce;aj;Častica;naucny_historia
148;v;Predložka;v;Predložka;naucny_historia
149;latinčine;Podstatné meno;latinčine;Podstatné meno;naucny_historia
150;odlišovať;Sloveso;odlišovať;Sloveso;naucny_historia
151;od;Predložka;od;Predložka;naucny_historia
152;všeobecného;Prídavné meno;všeobecného;Prídavné meno;naucny_historia
153;názvu;Podstatné meno;názvu;Podstatné meno;naucny_historia
154;nové;Prídavné meno;nové;Prídavné meno;naucny_historia
155;slovo;Podstatné meno;slovo;Podstatné meno;naucny_historia
156;v;Predložka;v;Predložka;naucny_historia
157;gramatickom;Prídavné meno;gramatickom;Prídavné meno;naucny_historia
158;popise;Podstatné meno;popise;Podstatné meno;naucny_historia
159;tohto;Zámeno;tohto;Zámeno;naucny_historia
160;jazyka;Podstatné meno;jazyka;Podstatné meno;naucny_historia
161;Obsiahly;Prídavné meno;Obsiahly;Prídavné meno;naucny_historia
162;vlastivedný;Prídavné meno;vlastivedný;Prídavné meno;naucny_historia
163;úvod;Podstatné meno;úvod;Podstatné meno;naucny_historia
164;o;Citoslovce;o;Predložka;naucny_historia
165;generáciu;Podstatné meno;generáciu;Podstatné meno;naucny_historia
166;starší;Prídavné meno;starší;Prídavné meno;naucny_historia
167;Matej;Podstatné meno;Matej;Podstatné meno;naucny_historia
168;prípade;Podstatné meno;prípade;Podstatné meno;naucny_historia
