;Slovo;Slovný druh;Jazykový štýl
0;Kde;Zámeno;NEVIEM
1;tá;Zámeno;NEVIEM
2;ľudská;Prídavné meno;NEVIEM
3;duša;Podstatné meno;NEVIEM
4;drieme;Sloveso;NEVIEM
5;?;Interpunkcia;NEVIEM
6;Prečo;Zámeno;NEVIEM
7;to;Zámeno;NEVIEM
8;tu;Častica;NEVIEM
9;píšem;Sloveso;NEVIEM
10;?;Interpunkcia;NEVIEM
11;Prečo;Zámeno;NEVIEM
12;je;Sloveso;NEVIEM
13;dnešný;Prídavné meno;NEVIEM
14;humor;Podstatné meno;NEVIEM
15;suchý;Prídavné meno;NEVIEM
16;?;Interpunkcia;NEVIEM
17;Aby;Spojka;NEVIEM
18;sa;Zvratné zámeno;NEVIEM
19;ľudia;Podstatné meno;NEVIEM
20;mohli;Sloveso;NEVIEM
21;smiať;Sloveso;NEVIEM
22;.;Interpunkcia;NEVIEM
23;Prečo;Zámeno;NEVIEM
24;niesme;Sloveso;NEVIEM
25;prirodzení;Prídavné meno;NEVIEM
26;?;Interpunkcia;NEVIEM
27;Aby;Spojka;NEVIEM
28;nás;Zámeno;NEVIEM
29;neobvinili;Sloveso;NEVIEM
30;z;Predložka;NEVIEM
31;farizejstva;Podstatné meno;NEVIEM
32;.;Interpunkcia;NEVIEM
33;Prečo;Zámeno;NEVIEM
34;existuje;Sloveso;NEVIEM
35;láska;Podstatné meno;NEVIEM
36;?;Interpunkcia;NEVIEM
37;Vhodná;Prídavné meno;NEVIEM
38;je;Sloveso;NEVIEM
39;paralela;Podstatné meno;NEVIEM
40;z;Predložka;NEVIEM
41;čias;Podstatné meno;NEVIEM
42;môjho;Zámeno;NEVIEM
43;starého;Prídavné meno;NEVIEM
44;otca;Podstatné meno;NEVIEM
45;.;Interpunkcia;NEVIEM
46;Spustili;Sloveso;NEVIEM
47;novú;Prídavné meno;NEVIEM
48;internetovú;Prídavné meno;NEVIEM
49;televíziu;Podstatné meno;NEVIEM
50;Braňa;Podstatné meno;NEVIEM
51;Krála;Podstatné meno;NEVIEM
52;Ľahká;Prídavné meno;NEVIEM
53;otázka;Podstatné meno;NEVIEM
