Kde;PD
tá;PFfs1
ľudská;AAfs1x
duša;SSfs1
drieme;VKesc+
?;Z
;
Prečo;PD
to;PFns4
tu;T
píšem;VKesa+
?;Z
;
Prečo;PD
je;VKesc+
dnešný;AAis1x
humor;SSis1
suchý;AAis1x
?;Z
;
Aby;OY
sa;R
ľudia;SSmp1
mohli;VLepcm+
smiať;VIe+
.;Z
;
Prečo;PD
niesme;VKepa-:q
prirodzení;AAmp1x
?;Z
;
Aby;OY
nás;PPhp4
neobvinili;VLdpcm-
z;Eu2
farizejstva;SSns2
.;Z
;
Prečo;PD
existuje;VKesc+
láska;SSfs1
?;Z
;
Vhodná;AAfs1x
je;VKesc+
paralela;SSfs1
z;Eu2
čias;SSip2
môjho;PFms2
starého;AAms2x
otca;SSms2
.;Z
;
Spustili;VLdpcm+
novú;AAfs4x
internetovú;AAfs4x
televíziu;SSfs4
Braňa;SSms2:r
Krála;SSms2:rq
;
Ľahká;AAfs1x
otázka;SSfs1
,;Z
ťažká;AAfs1x
odpoveď;SSfs1
.;Z
;
Autobusy;SSip1
sú;VKepc+
pohodlím;SSns7
na;Eu6
európskej;AAfs6x
úrovni;SSfs6
.;Z
;
Iných;PAmp4
stopárov;SSmp4
som;VKesa+
tu;PD
zatiaľ;PD
ešte;Dx
nevidel;VLesam-
.;Z
;
Ako;O
dopadol;VLdsci+
?;Z
;
Bohužiaľ;T
.;Z
;
Strong;%
wind;%
!;Z
;
Silný;AAis1x:r
vietor;SSis1
!;Z
"	";id=a-2005-09-21-d-314-p3s8w4
ma;PPhs4
posiela;VKesc+
späť;Dx
na;Eu4
"	";id=a-2005-09-21-d-314-p3s8w9
vajíčko;SSns4
"	";id=a-2005-09-21-d-314-p3s8w11
.;Z
;
Na;Eu6
zastávke;SSfs6
na;Eu6
Záhradkách;SSfp6:r
nás;PPhp4
čakal;VLesci+
veľmi;Dx
zaujímavý;AAis1x
pohľad;SSis1
.;Z
;
Bežné;AAfp1x
prachovky;SSfp1
naňho;PFms4g
nestačia;VKjpc-
”;Z
.;Z
;
Ja;PPhs1
som;VKesa+
chcela;VLesaf+
vyhrávať;VIe+
.;Z
;
A;O
vyhrávam;VKesa+
.;Z
;
slovenskej;AAfs2x
kultúrnej;AAfs2x
histórie;SSfs2
;
Od;Eu2
tej;PFfs2
chvíle;SSfs2
vstupuje;VKesc+
do;Eu2
hry;SSfs2
slovenská;AAfs1x
časť;SSfs1
Uhorska;SSns2:r
.;Z
;
Do;Eu2
slovenských;AAfp2x
častí;SSfp2
Uhorska;SSns2:r
sa;R
vtedy;PD
utiahla;VLdscf+
jedna;NFfs1
časť;SSfs1
českých;AAmp2x
emigrovaných;Gtmp2x
protestantov;SSmp2
a;O
tu;PD
našli;VLdpcm+
v;Eu6
používaní;SSns6
svoj;PFis4
vlastný;AAis4x
spisovný;AAis4x
jazyk;SSis4
presne;T
tak;PD
