Slovo;Slovný druh;Slovo2;Slovný druh2
Kde;Príslovka;Kde;Zámeno
tá;Zámeno;tá;Zámeno
ľudská;Prídavné meno;ľudská;Prídavné meno
duša;Podstatné meno;duša;Podstatné meno
drieme;Sloveso;drieme;Sloveso
Prečo;Príslovka;Prečo;Zámeno
to;Zámeno;to;Zámeno
tu;Príslovka;tu;Častica
píšem;Sloveso;píšem;Sloveso
Prečo;Príslovka;Prečo;Zámeno
je;Sloveso;je;Sloveso
dnešný;Prídavné meno;dnešný;Prídavné meno
humor;Podstatné meno;humor;Podstatné meno
suchý;Prídavné meno;suchý;Prídavné meno
Aby;Spojka;Aby;Spojka
sa;Zámeno;sa;Zvratné zámeno
ľudia;Podstatné meno;ľudia;Podstatné meno
mohli;Sloveso;mohli;Sloveso
smiať;Sloveso;smiať;Sloveso
Prečo;Príslovka;Prečo;Zámeno
prirodzení;Podstatné meno;prirodzení;Prídavné meno
Aby;Spojka;Aby;Spojka
nás;Zámeno;nás;Zámeno
z;Podstatné meno;z;Predložka
farizejstva;Podstatné meno;farizejstva;Podstatné meno
Prečo;Príslovka;Prečo;Zámeno
existuje;Sloveso;existuje;Sloveso
láska;Podstatné meno;láska;Podstatné meno
Vhodná;Prídavné meno;Vhodná;Prídavné meno
je;Sloveso;je;Sloveso
paralela;Podstatné meno;paralela;Podstatné meno
z;Podstatné meno;z;Predložka
čias;Podstatné meno;čias;Podstatné meno
môjho;Zámeno;môjho;Zámeno
starého;Podstatné meno;starého;Prídavné meno
otca;Podstatné meno;otca;Podstatné meno
Spustili;Sloveso;Spustili;Sloveso
novú;Prídavné meno;novú;Prídavné meno
internetovú;Prídavné meno;internetovú;Prídavné meno
televíziu;Podstatné meno;televíziu;Podstatné meno
Ľahká;Prídavné meno;Ľahká;Prídavné meno
otázka;Podstatné meno;otázka;Podstatné meno
ťažká;Sloveso;ťažká;Prídavné meno
odpoveď;Podstatné meno;odpoveď;Podstatné meno
Autobusy;Podstatné meno;Autobusy;Podstatné meno
sú;Sloveso;sú;Sloveso
pohodlím;Podstatné meno;pohodlím;Podstatné meno
na;Citoslovce;na;Predložka
európskej;Prídavné meno;európskej;Prídavné meno
úrovni;Podstatné meno;úrovni;Podstatné meno
Iných;Prídavné meno;Iných;Zámeno
stopárov;Podstatné meno;stopárov;Podstatné meno
som;Sloveso;som;Sloveso
tu;Príslovka;tu;Zámeno
zatiaľ;Príslovka;zatiaľ;Zámeno
ešte;Príslovka;ešte;Príslovka
Ako;Spojka;Ako;Spojka
dopadol;Sloveso;dopadol;Sloveso
Bohužiaľ;Častice;Bohužiaľ;Častica
Silný;Prídavné meno;Silný;Prídavné meno
vietor;Podstatné meno;vietor;Podstatné meno
ma;Zámeno;ma;Zámeno
posiela;Sloveso;posiela;Sloveso
späť;Príslovka;späť;Príslovka
na;Citoslovce;na;Predložka
vajíčko;Podstatné meno;vajíčko;Podstatné meno
Na;Skratka;Na;Predložka
zastávke;Podstatné meno;zastávke;Podstatné meno
na;Citoslovce;na;Predložka
Záhradkách;Podstatné meno;Záhradkách;Podstatné meno
nás;Zámeno;nás;Zámeno
čakal;Sloveso;čakal;Sloveso
veľmi;Príslovka;veľmi;Príslovka
zaujímavý;Prídavné meno;zaujímavý;Prídavné meno
pohľad;Podstatné meno;pohľad;Podstatné meno
Bežné;Prídavné meno;Bežné;Prídavné meno
prachovky;Podstatné meno;prachovky;Podstatné meno
naňho;Zámeno;naňho;Zámeno
Ja;Zámeno;Ja;Zámeno
som;Sloveso;som;Sloveso
chcela;Sloveso;chcela;Sloveso
vyhrávať;Sloveso;vyhrávať;Sloveso
A;Spojka;A;Spojka
vyhrávam;Sloveso;vyhrávam;Sloveso
slovenskej;Prídavné meno;slovenskej;Prídavné meno
kultúrnej;Prídavné meno;kultúrnej;Prídavné meno
histórie;Podstatné meno;histórie;Podstatné meno
Od;Predložka;Od;Predložka
tej;Zámeno;tej;Zámeno
chvíle;Podstatné meno;chvíle;Podstatné meno
vstupuje;Sloveso;vstupuje;Sloveso
do;Citoslovce;do;Predložka
hry;Podstatné meno;hry;Podstatné meno
slovenská;Prídavné meno;slovenská;Prídavné meno
časť;Podstatné meno;časť;Podstatné meno
Uhorska;Podstatné meno;Uhorska;Podstatné meno
Do;Citoslovce;Do;Predložka
slovenských;Prídavné meno;slovenských;Prídavné meno
častí;Prídavné meno;častí;Podstatné meno
Uhorska;Podstatné meno;Uhorska;Podstatné meno
sa;Zámeno;sa;Zvratné zámeno
vtedy;Príslovka;vtedy;Zámeno
utiahla;Sloveso;utiahla;Sloveso
jedna;Číslovka;jedna;Číslovka
časť;Podstatné meno;časť;Podstatné meno
českých;Prídavné meno;českých;Prídavné meno
protestantov;Podstatné meno;protestantov;Podstatné meno
a;Spojka;a;Spojka
tu;Príslovka;tu;Zámeno
našli;Sloveso;našli;Sloveso
v;Predložka;v;Predložka
používaní;Podstatné meno;používaní;Podstatné meno
svoj;Zámeno;svoj;Zámeno
vlastný;Prídavné meno;vlastný;Prídavné meno
spisovný;Prídavné meno;spisovný;Prídavné meno
jazyk;Podstatné meno;jazyk;Podstatné meno
presne;Príslovka;presne;Častica
tak;Príslovka;tak;Zámeno
ako;Spojka;ako;Zámeno
vo;Predložka;vo;Predložka
svojej;Zámeno;svojej;Zámeno
českej;Prídavné meno;českej;Prídavné meno
vlasti;Podstatné meno;vlasti;Podstatné meno
Podľa;Predložka;Podľa;Predložka
princípu;Podstatné meno;princípu;Podstatné meno
siedmich;Číslovka;siedmich;Číslovka
slobodných;Prídavné meno;slobodných;Prídavné meno
umení;Podstatné meno;umení;Podstatné meno
prvým;Číslovka;prvým;Číslovka
stupňom;Podstatné meno;stupňom;Podstatné meno
je;Sloveso;je;Sloveso
gramatika;Podstatné meno;gramatika;Podstatné meno
Európska;Prídavné meno;Európska;Prídavné meno
únia;Podstatné meno;únia;Podstatné meno
čiže;Spojka;čiže;Spojka
veľkých;Prídavné meno;veľkých;Prídavné meno
bankoviek;Podstatné meno;bankoviek;Podstatné meno
na;Citoslovce;na;Predložka
drobné;Podstatné meno;drobné;Prídavné meno
mince;Podstatné meno;mince;Podstatné meno
Toto;Zámeno;Toto;Zámeno
hraníc;Podstatné meno;hraníc;Podstatné meno
je;Sloveso;je;Sloveso
veľmi;Príslovka;veľmi;Príslovka
príjemné;Prídavné meno;príjemné;Prídavné meno
pokiaľ;Zámeno;pokiaľ;Spojka
ide;Sloveso;ide;Sloveso
o;Citoslovce;o;Predložka
poriadneho;Prídavné meno;poriadneho;Prídavné meno
občana;Podstatné meno;občana;Podstatné meno
ktorý;Zámeno;ktorý;Zámeno
cestuje;Sloveso;cestuje;Sloveso
za;Predložka;za;Predložka
svojím;Zámeno;svojím;Zámeno
obchodom;Podstatné meno;obchodom;Podstatné meno
alebo;Spojka;alebo;Spojka
za;Predložka;za;Predložka
svojou;Zámeno;svojou;Zámeno
dovolenkou;Podstatné meno;dovolenkou;Podstatné meno
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
Pojem;Podstatné meno;Pojem;Podstatné meno
zo;Častice;zo;Predložka
začiatku;Podstatné meno;začiatku;Podstatné meno
storočia;Podstatné meno;storočia;Podstatné meno
je;Sloveso;je;Sloveso
začiatok;Podstatné meno;začiatok;Podstatné meno
pojmu;Podstatné meno;pojmu;Podstatné meno
česko;Častice;česko;Neurčiteľný slovný druh
slovenský;Prídavné meno;slovenský;Prídavné meno
si;Zámeno;si;Zvratné zámeno
bol;Podstatné meno;bol;Sloveso
vedomý;Prídavné meno;vedomý;Prídavné meno
že;Spojka;že;Spojka
meno;Podstatné meno;meno;Podstatné meno
Slovákov;Podstatné meno;Slovákov;Podstatné meno
treba;Príslovka;treba;Príslovka
aj;Citoslovce;aj;Častica
v;Predložka;v;Predložka
latinčine;Podstatné meno;latinčine;Podstatné meno
odlišovať;Sloveso;odlišovať;Sloveso
od;Predložka;od;Predložka
všeobecného;Prídavné meno;všeobecného;Prídavné meno
názvu;Podstatné meno;názvu;Podstatné meno
a;Spojka;a;Spojka
vytvoril;Sloveso;vytvoril;Sloveso
nové;Prídavné meno;nové;Prídavné meno
slovo;Podstatné meno;slovo;Podstatné meno
Druhá;Podstatné meno;Druhá;Číslovka
inovácia;Podstatné meno;inovácia;Podstatné meno
je;Sloveso;je;Sloveso
v;Predložka;v;Predložka
gramatickom;Prídavné meno;gramatickom;Prídavné meno
popise;Podstatné meno;popise;Podstatné meno
tohto;Zámeno;tohto;Zámeno
jazyka;Podstatné meno;jazyka;Podstatné meno
Obsiahly;Prídavné meno;Obsiahly;Prídavné meno
vlastivedný;Prídavné meno;vlastivedný;Prídavné meno
úvod;Podstatné meno;úvod;Podstatné meno
k;Podstatné meno;k;Predložka
gramatike;Podstatné meno;gramatike;Podstatné meno
napísal;Sloveso;napísal;Sloveso
o;Citoslovce;o;Predložka
generáciu;Podstatné meno;generáciu;Podstatné meno
starší;Prídavné meno;starší;Prídavné meno
Matej;Podstatné meno;Matej;Podstatné meno
V;Skratka;V;Predložka
každom;Zámeno;každom;Zámeno
prípade;Podstatné meno;prípade;Podstatné meno
aj;Citoslovce;aj;Častica
text;Podstatné meno;text;Podstatné meno
jeho;Zámeno;jeho;Zámeno
úvodu;Podstatné meno;úvodu;Podstatné meno
dal;Sloveso;dal;Sloveso
gramatike;Podstatné meno;gramatike;Podstatné meno
punc;Podstatné meno;punc;Podstatné meno
najautoritatívnejšieho;Prídavné meno;najautoritatívnejšieho;Prídavné meno
zdroja;Podstatné meno;zdroja;Podstatné meno
poznania;Podstatné meno;poznania;Podstatné meno
vtedajšieho;Prídavné meno;vtedajšieho;Prídavné meno
spisovného;Prídavné meno;spisovného;Prídavné meno
jazyka;Podstatné meno;jazyka;Podstatné meno
Čechov;Podstatné meno;Čechov;Podstatné meno
i;Spojka;i;Spojka
Slovákov;Podstatné meno;Slovákov;Podstatné meno
Táto;Zámeno;Táto;Zámeno
norma;Podstatné meno;norma;Podstatné meno
je;Sloveso;je;Sloveso
dodnes;Príslovka;dodnes;Príslovka
základom;Podstatné meno;základom;Podstatné meno
spisovnej;Prídavné meno;spisovnej;Prídavné meno
češtiny;Podstatné meno;češtiny;Podstatné meno
Štúrovský;Prídavné meno;Štúrovský;Prídavné meno
nový;Prídavné meno;nový;Prídavné meno
slovenský;Prídavné meno;slovenský;Prídavné meno
spisovný;Prídavné meno;spisovný;Prídavné meno
jazyk;Podstatné meno;jazyk;Podstatné meno
má;Sloveso;má;Sloveso
niekoľko;Číslovka;niekoľko;Zámeno
vrstiev;Podstatné meno;vrstiev;Podstatné meno
Radikálnou;Prídavné meno;Radikálnou;Prídavné meno
inováciou;Podstatné meno;inováciou;Podstatné meno
je;Sloveso;je;Sloveso
hláskoslovie;Podstatné meno;hláskoslovie;Podstatné meno
a;Spojka;a;Spojka
tvaroslovie;Podstatné meno;tvaroslovie;Podstatné meno
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
Profesor;Podstatné meno;Profesor;Podstatné meno
Eugen;Podstatné meno;Eugen;Podstatné meno
ktorý;Zámeno;ktorý;Zámeno
sa;Zámeno;sa;Zvratné zámeno
dejinami;Podstatné meno;dejinami;Podstatné meno
spisovnej;Prídavné meno;spisovnej;Prídavné meno
slovenčiny;Podstatné meno;slovenčiny;Podstatné meno
dlhé;Prídavné meno;dlhé;Prídavné meno
roky;Podstatné meno;roky;Podstatné meno
zaoberal;Sloveso;zaoberal;Sloveso
si;Zámeno;si;Zvratné zámeno
uvedomil;Sloveso;uvedomil;Sloveso
potrebu;Podstatné meno;potrebu;Podstatné meno
dať;Sloveso;dať;Sloveso
do;Citoslovce;do;Predložka
rúk;Podstatné meno;rúk;Podstatné meno
slovenskej;Prídavné meno;slovenskej;Prídavné meno
i;Spojka;i;Spojka
medzinárodnej;Prídavné meno;medzinárodnej;Prídavné meno
vedeckej;Prídavné meno;vedeckej;Prídavné meno
verejnosti;Podstatné meno;verejnosti;Podstatné meno
dostatočne;Príslovka;dostatočne;Príslovka
prístupný;Prídavné meno;prístupný;Prídavné meno
skutočný;Prídavné meno;skutočný;Prídavné meno
text;Podstatné meno;text;Podstatné meno
tohto;Zámeno;tohto;Zámeno
základného;Prídavné meno;základného;Prídavné meno
diela;Podstatné meno;diela;Podstatné meno
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
profesor;Podstatné meno;profesor;Podstatné meno
slovanských;Prídavné meno;slovanských;Prídavné meno
jazykov;Podstatné meno;jazykov;Podstatné meno
Česko;Podstatné meno;Česko;Neurčiteľný slovný druh
slovenské;Prídavné meno;slovenské;Prídavné meno
kultúrne;Príslovka;kultúrne;Prídavné meno
kontinuum;Podstatné meno;kontinuum;Podstatné meno
Ku;Predložka;Ku;Predložka
konfliktom;Podstatné meno;konfliktom;Podstatné meno
a;Spojka;a;Spojka
nedorozumeniam;Podstatné meno;nedorozumeniam;Podstatné meno
výrazne;Príslovka;výrazne;Príslovka
prispelo;Sloveso;prispelo;Sloveso
aj;Citoslovce;aj;Častica
