Slovo;Slovný druh;Slovo2;Slovný druh2
Kde;Zámeno;Kde;Zámeno
tá;Zámeno;tá;Zámeno
ľudská;Prídavné meno;ľudská;Prídavné meno
duša;Podstatné meno;duša;Podstatné meno
drieme;Sloveso;drieme;Sloveso
?;Interpunkcia;?;Interpunkcia
Prečo;Zámeno;Prečo;Zámeno
to;Zámeno;to;Zámeno
tu;Zámeno;tu;Častica
píšem;Sloveso;píšem;Sloveso
?;Interpunkcia;?;Interpunkcia
Prečo;Zámeno;Prečo;Zámeno
je;Sloveso;je;Sloveso
dnešný;Prídavné meno;dnešný;Prídavné meno
humor;Podstatné meno;humor;Podstatné meno
suchý;Prídavné meno;suchý;Prídavné meno
?;Interpunkcia;?;Interpunkcia
Aby;Spojka;Aby;Spojka
sa;Zvratné zámeno;sa;Zvratné zámeno
ľudia;Podstatné meno;ľudia;Podstatné meno
mohli;Sloveso;mohli;Sloveso
smiať;Sloveso;smiať;Sloveso
.;Interpunkcia;.;Interpunkcia
Prečo;Zámeno;Prečo;Zámeno
niesme;Sloveso;niesme;Sloveso
prirodzení;Prídavné meno;prirodzení;Prídavné meno
?;Interpunkcia;?;Interpunkcia
Aby;Spojka;Aby;Spojka
nás;Zámeno;nás;Zámeno
neobvinili;Sloveso;neobvinili;Sloveso
z;Predložka;z;Predložka
farizejstva;Podstatné meno;farizejstva;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Prečo;Zámeno;Prečo;Zámeno
existuje;Sloveso;existuje;Sloveso
láska;Podstatné meno;láska;Podstatné meno
?;Interpunkcia;?;Interpunkcia
Vhodná;Prídavné meno;Vhodná;Prídavné meno
je;Sloveso;je;Sloveso
paralela;Podstatné meno;paralela;Podstatné meno
z;Predložka;z;Predložka
čias;Podstatné meno;čias;Podstatné meno
môjho;Zámeno;môjho;Zámeno
starého;Prídavné meno;starého;Prídavné meno
otca;Podstatné meno;otca;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Spustili;Sloveso;Spustili;Sloveso
novú;Prídavné meno;novú;Prídavné meno
internetovú;Prídavné meno;internetovú;Prídavné meno
televíziu;Podstatné meno;televíziu;Podstatné meno
Braňa;Podstatné meno;Braňa;Podstatné meno
Krála;Podstatné meno;Krála;Podstatné meno
Ľahká;Prídavné meno;Ľahká;Prídavné meno
otázka;Podstatné meno;otázka;Podstatné meno
,;Interpunkcia;,;Interpunkcia
ťažká;Prídavné meno;ťažká;Prídavné meno
odpoveď;Podstatné meno;odpoveď;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Autobusy;Podstatné meno;Autobusy;Podstatné meno
sú;Sloveso;sú;Sloveso
pohodlím;Podstatné meno;pohodlím;Podstatné meno
na;Predložka;na;Predložka
európskej;Prídavné meno;európskej;Prídavné meno
úrovni;Podstatné meno;úrovni;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Iných;Zámeno;Iných;Zámeno
stopárov;Podstatné meno;stopárov;Podstatné meno
som;Sloveso;som;Sloveso
tu;Zámeno;tu;Zámeno
zatiaľ;Zámeno;zatiaľ;Zámeno
ešte;Častica;ešte;Príslovka
nevidel;Sloveso;nevidel;Sloveso
.;Interpunkcia;.;Interpunkcia
Ako;Zámeno;Ako;Spojka
dopadol;Sloveso;dopadol;Sloveso
?;Interpunkcia;?;Interpunkcia
Bohužiaľ;Citový výraz;Bohužiaľ;Častica
.;Interpunkcia;.;Interpunkcia
Strong;Citový výraz;Strong;Citový výraz
wind;Citový výraz;wind;Citový výraz
!;Interpunkcia;!;Interpunkcia
Silný;Prídavné meno;Silný;Prídavné meno
vietor;Podstatné meno;vietor;Podstatné meno
!;Interpunkcia;!;Interpunkcia
"""";Interpunkcia;"""";Interpunkcia
ma;Zámeno;ma;Zámeno
posiela;Sloveso;posiela;Sloveso
späť;Príslovka;späť;Príslovka
na;Predložka;na;Predložka
"""";Interpunkcia;"""";Interpunkcia
vajíčko;Podstatné meno;vajíčko;Podstatné meno
"""";Interpunkcia;"""";Interpunkcia
.;Interpunkcia;.;Interpunkcia
Na;Predložka;Na;Predložka
zastávke;Podstatné meno;zastávke;Podstatné meno
na;Predložka;na;Predložka
Záhradkách;Podstatné meno;Záhradkách;Podstatné meno
nás;Zámeno;nás;Zámeno
čakal;Sloveso;čakal;Sloveso
veľmi;Príslovka;veľmi;Príslovka
zaujímavý;Prídavné meno;zaujímavý;Prídavné meno
pohľad;Podstatné meno;pohľad;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Bežné;Prídavné meno;Bežné;Prídavné meno
prachovky;Podstatné meno;prachovky;Podstatné meno
na;Predložka;;
neho;Zámeno;;
nestačia;Sloveso;nestačia;Sloveso
”;Interpunkcia;”;Interpunkcia
.;Interpunkcia;.;Interpunkcia
Ja;Zámeno;Ja;Zámeno
som;Sloveso;som;Sloveso
chcela;Sloveso;chcela;Sloveso
vyhrávať;Sloveso;vyhrávať;Sloveso
.;Interpunkcia;.;Interpunkcia
A;Spojka;A;Spojka
vyhrávam;Sloveso;vyhrávam;Sloveso
.;Interpunkcia;.;Interpunkcia
slovenskej;Prídavné meno;slovenskej;Prídavné meno
kultúrnej;Prídavné meno;kultúrnej;Prídavné meno
histórie;Podstatné meno;histórie;Podstatné meno
Od;Predložka;Od;Predložka
tej;Zámeno;tej;Zámeno
chvíle;Podstatné meno;chvíle;Podstatné meno
vstupuje;Sloveso;vstupuje;Sloveso
do;Predložka;do;Predložka
hry;Podstatné meno;hry;Podstatné meno
slovenská;Prídavné meno;slovenská;Prídavné meno
časť;Podstatné meno;časť;Podstatné meno
Uhorska;Podstatné meno;Uhorska;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Do;Predložka;Do;Predložka
slovenských;Prídavné meno;slovenských;Prídavné meno
častí;Podstatné meno;častí;Podstatné meno
Uhorska;Podstatné meno;Uhorska;Podstatné meno
sa;Zvratné zámeno;sa;Zvratné zámeno
vtedy;Zámeno;vtedy;Zámeno
utiahla;Sloveso;utiahla;Sloveso
jedna;Číslovka;jedna;Číslovka
časť;Podstatné meno;časť;Podstatné meno
českých;Prídavné meno;českých;Prídavné meno
emigrovaných;Príčastie - Sloveso;emigrovaných;Príčastie - Sloveso
protestantov;Podstatné meno;protestantov;Podstatné meno
a;Spojka;a;Spojka
tu;Zámeno;tu;Zámeno
našli;Sloveso;našli;Sloveso
v;Predložka;v;Predložka
používaní;Podstatné meno;používaní;Podstatné meno
svoj;Zámeno;svoj;Zámeno
vlastný;Prídavné meno;vlastný;Prídavné meno
spisovný;Prídavné meno;spisovný;Prídavné meno
jazyk;Podstatné meno;jazyk;Podstatné meno
presne;Častica;presne;Častica
tak;Zámeno;tak;Zámeno
,;Interpunkcia;,;Interpunkcia
ako;Spojka;ako;Zámeno
vo;Predložka;vo;Predložka
svojej;Zámeno;svojej;Zámeno
českej;Prídavné meno;českej;Prídavné meno
vlasti;Podstatné meno;vlasti;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Podľa;Predložka;Podľa;Predložka
princípu;Podstatné meno;princípu;Podstatné meno
siedmich;Číslovka;siedmich;Číslovka
slobodných;Prídavné meno;slobodných;Prídavné meno
umení;Podstatné meno;umení;Podstatné meno
prvým;Číslovka;prvým;Číslovka
stupňom;Podstatné meno;stupňom;Podstatné meno
trivia;Podstatné meno;trivia;Podstatné meno
je;Sloveso;je;Sloveso
gramatika;Podstatné meno;gramatika;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Európska;Prídavné meno;Európska;Prídavné meno
únia;Podstatné meno;únia;Podstatné meno
,;Interpunkcia;,;Interpunkcia
čiže;Spojka;čiže;Spojka
rozmieňanie;Podstatné meno;rozmieňanie;Podstatné meno
veľkých;Prídavné meno;veľkých;Prídavné meno
bankoviek;Podstatné meno;bankoviek;Podstatné meno
na;Predložka;na;Predložka
drobné;Prídavné meno;drobné;Prídavné meno
mince;Podstatné meno;mince;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Toto;Zámeno;Toto;Zámeno
stieranie;Podstatné meno;stieranie;Podstatné meno
hraníc;Podstatné meno;hraníc;Podstatné meno
je;Sloveso;je;Sloveso
veľmi;Príslovka;veľmi;Príslovka
príjemné;Prídavné meno;príjemné;Prídavné meno
,;Interpunkcia;,;Interpunkcia
pokiaľ;Spojka;pokiaľ;Spojka
ide;Sloveso;ide;Sloveso
o;Predložka;o;Predložka
poriadneho;Prídavné meno;poriadneho;Prídavné meno
občana;Podstatné meno;občana;Podstatné meno
,;Interpunkcia;,;Interpunkcia
ktorý;Zámeno;ktorý;Zámeno
cestuje;Sloveso;cestuje;Sloveso
za;Predložka;za;Predložka
svojím;Zámeno;svojím;Zámeno
obchodom;Podstatné meno;obchodom;Podstatné meno
alebo;Spojka;alebo;Spojka
za;Predložka;za;Predložka
svojou;Zámeno;svojou;Zámeno
dovolenkou;Podstatné meno;dovolenkou;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Ľubomír;Podstatné meno;Ľubomír;Podstatné meno
Ďurovič;Podstatné meno;Ďurovič;Podstatné meno
Pojem;Podstatné meno;Pojem;Podstatné meno
slavico;Citový výraz;slavico;Citový výraz
-;Interpunkcia;-;Interpunkcia
bohemicus;Citový výraz;bohemicus;Citový výraz
zo;Predložka;zo;Predložka
začiatku;Podstatné meno;začiatku;Podstatné meno
XVIII;Číslica;XVIII;Číslica
.;Interpunkcia;.;Interpunkcia
storočia;Podstatné meno;storočia;Podstatné meno
je;Sloveso;je;Sloveso
začiatok;Podstatné meno;začiatok;Podstatné meno
pojmu;Podstatné meno;pojmu;Podstatné meno
česko;Neurčiteľný slovný druh;česko;Neurčiteľný slovný druh
(;Interpunkcia;(;Interpunkcia
-;Interpunkcia;-;Interpunkcia
);Interpunkcia;);Interpunkcia
slovenský;Prídavné meno;slovenský;Prídavné meno
.;Interpunkcia;.;Interpunkcia
Krman;Podstatné meno;Krman;Podstatné meno
si;Zvratné zámeno;si;Zvratné zámeno
bol;Sloveso;bol;Sloveso
vedomý;Prídavné meno;vedomý;Prídavné meno
,;Interpunkcia;,;Interpunkcia
že;Spojka;že;Spojka
meno;Podstatné meno;meno;Podstatné meno
Slovákov;Podstatné meno;Slovákov;Podstatné meno
treba;Príslovka;treba;Príslovka
aj;Častica;aj;Častica
v;Predložka;v;Predložka
latinčine;Podstatné meno;latinčine;Podstatné meno
