Slovo;Číslo;Slovo2;Číslo2
Kde;;Kde;
tá;jednotné;tá;jednotné
ľudská;jednotné;ľudská;jednotné
duša;jednotné;duša;jednotné
drieme;jednotné;drieme;jednotné
Prečo;;Prečo;
to;jednotné;to;jednotné
tu;;tu;
píšem;jednotné;píšem;jednotné
Prečo;;Prečo;
je;jednotné;je;jednotné
dnešný;jednotné;dnešný;jednotné
humor;jednotné;humor;jednotné
suchý;jednotné;suchý;jednotné
Aby;jednotné;Aby;
sa;;sa;
ľudia;množné;ľudia;množné
mohli;množné;mohli;množné
smiať;;smiať;
Prečo;;Prečo;
prirodzení;množné;prirodzení;množné
Aby;jednotné;Aby;
nás;množné;nás;množné
z;množné;z;
farizejstva;jednotné;farizejstva;jednotné
Prečo;;Prečo;
existuje;jednotné;existuje;jednotné
láska;jednotné;láska;jednotné
Vhodná;jednotné;Vhodná;jednotné
je;jednotné;je;jednotné
paralela;jednotné;paralela;jednotné
z;množné;z;
čias;množné;čias;množné
môjho;jednotné;môjho;jednotné
starého;jednotné;starého;jednotné
otca;jednotné;otca;jednotné
Spustili;množné;Spustili;množné
novú;jednotné;novú;jednotné
internetovú;jednotné;internetovú;jednotné
televíziu;jednotné;televíziu;jednotné
Ľahká;jednotné;Ľahká;jednotné
otázka;jednotné;otázka;jednotné
ťažká;jednotné;ťažká;jednotné
odpoveď;jednotné;odpoveď;jednotné
Autobusy;množné;Autobusy;množné
sú;množné;sú;množné
pohodlím;jednotné;pohodlím;jednotné
na;;na;
európskej;jednotné;európskej;jednotné
úrovni;jednotné;úrovni;jednotné
Iných;množné;Iných;množné
stopárov;množné;stopárov;množné
som;jednotné;som;jednotné
tu;;tu;
zatiaľ;;zatiaľ;
ešte;;ešte;
Ako;;Ako;
dopadol;jednotné;dopadol;jednotné
Bohužiaľ;;Bohužiaľ;
Silný;jednotné;Silný;jednotné
vietor;jednotné;vietor;jednotné
ma;jednotné;ma;jednotné
posiela;jednotné;posiela;jednotné
späť;;späť;
na;;na;
vajíčko;jednotné;vajíčko;jednotné
Na;;Na;
zastávke;jednotné;zastávke;jednotné
na;;na;
Záhradkách;množné;Záhradkách;množné
nás;množné;nás;množné
čakal;jednotné;čakal;jednotné
veľmi;;veľmi;
zaujímavý;jednotné;zaujímavý;jednotné
pohľad;jednotné;pohľad;jednotné
Bežné;množné;Bežné;množné
prachovky;množné;prachovky;množné
naňho;jednotné;naňho;jednotné
Ja;množné;Ja;jednotné
som;jednotné;som;jednotné
chcela;jednotné;chcela;jednotné
vyhrávať;;vyhrávať;
A;;A;
vyhrávam;jednotné;vyhrávam;jednotné
slovenskej;jednotné;slovenskej;jednotné
kultúrnej;jednotné;kultúrnej;jednotné
histórie;množné;histórie;jednotné
Od;;Od;
tej;jednotné;tej;jednotné
chvíle;množné;chvíle;jednotné
vstupuje;jednotné;vstupuje;jednotné
do;;do;
hry;množné;hry;jednotné
slovenská;jednotné;slovenská;jednotné
časť;jednotné;časť;jednotné
Uhorska;jednotné;Uhorska;jednotné
Do;;Do;
slovenských;množné;slovenských;množné
častí;množné;častí;množné
Uhorska;jednotné;Uhorska;jednotné
sa;;sa;
vtedy;;vtedy;
utiahla;jednotné;utiahla;jednotné
jedna;jednotné;jedna;jednotné
časť;jednotné;časť;jednotné
českých;množné;českých;množné
protestantov;množné;protestantov;množné
a;množné;a;
tu;;tu;
našli;množné;našli;množné
v;;v;
používaní;množné;používaní;jednotné
svoj;jednotné;svoj;jednotné
vlastný;jednotné;vlastný;jednotné
spisovný;jednotné;spisovný;jednotné
jazyk;jednotné;jazyk;jednotné
presne;;presne;
tak;;tak;
ako;;ako;
vo;;vo;
svojej;jednotné;svojej;jednotné
českej;jednotné;českej;jednotné
vlasti;množné;vlasti;jednotné
Podľa;;Podľa;
princípu;jednotné;princípu;jednotné
siedmich;množné;siedmich;množné
slobodných;množné;slobodných;množné
umení;množné;umení;množné
prvým;množné;prvým;jednotné
stupňom;množné;stupňom;jednotné
je;jednotné;je;jednotné
gramatika;jednotné;gramatika;jednotné
Európska;jednotné;Európska;jednotné
únia;jednotné;únia;jednotné
čiže;;čiže;
veľkých;množné;veľkých;množné
bankoviek;množné;bankoviek;množné
na;;na;
drobné;množné;drobné;množné
mince;množné;mince;množné
Toto;jednotné;Toto;jednotné
hraníc;množné;hraníc;množné
je;jednotné;je;jednotné
veľmi;;veľmi;
príjemné;množné;príjemné;jednotné
pokiaľ;;pokiaľ;
ide;jednotné;ide;jednotné
o;;o;
poriadneho;jednotné;poriadneho;jednotné
občana;jednotné;občana;jednotné
ktorý;jednotné;ktorý;jednotné
cestuje;jednotné;cestuje;jednotné
za;;za;
svojím;jednotné;svojím;jednotné
obchodom;množné;obchodom;jednotné
alebo;;alebo;
za;;za;
svojou;jednotné;svojou;jednotné
dovolenkou;jednotné;dovolenkou;jednotné
Ľubomír;jednotné;Ľubomír;jednotné
Pojem;jednotné;Pojem;jednotné
zo;;zo;
začiatku;jednotné;začiatku;jednotné
storočia;množné;storočia;jednotné
je;jednotné;je;jednotné
začiatok;jednotné;začiatok;jednotné
pojmu;jednotné;pojmu;jednotné
česko;;česko;
slovenský;jednotné;slovenský;jednotné
si;;si;
bol;množné;bol;jednotné
vedomý;jednotné;vedomý;jednotné
že;;že;
meno;jednotné;meno;jednotné
Slovákov;množné;Slovákov;množné
treba;;treba;
aj;;aj;
v;;v;
