Slovo;Pád;Slovo2;Pád2
Kde;;Kde;
tá;nominatív;tá;nominatív
ľudská;nominatív;ľudská;nominatív
duša;nominatív;duša;nominatív
drieme;;drieme;
Prečo;;Prečo;
to;nominatív;to;akuzatív
tu;;tu;
píšem;;píšem;
Prečo;;Prečo;
je;;je;
dnešný;nominatív;dnešný;nominatív
humor;nominatív;humor;nominatív
suchý;nominatív;suchý;nominatív
Aby;;Aby;
sa;akuzatív;sa;
ľudia;nominatív;ľudia;nominatív
mohli;;mohli;
smiať;;smiať;
Prečo;;Prečo;
prirodzení;genitív;prirodzení;nominatív
Aby;;Aby;
nás;genitív;nás;akuzatív
z;nominatív;z;
farizejstva;genitív;farizejstva;genitív
Prečo;;Prečo;
existuje;;existuje;
láska;nominatív;láska;nominatív
Vhodná;nominatív;Vhodná;nominatív
je;;je;
paralela;nominatív;paralela;nominatív
z;nominatív;z;
čias;genitív;čias;genitív
môjho;genitív;môjho;genitív
starého;genitív;starého;genitív
otca;genitív;otca;genitív
Spustili;;Spustili;
novú;akuzatív;novú;akuzatív
internetovú;akuzatív;internetovú;akuzatív
televíziu;akuzatív;televíziu;akuzatív
Ľahká;nominatív;Ľahká;nominatív
otázka;nominatív;otázka;nominatív
ťažká;;ťažká;nominatív
odpoveď;nominatív;odpoveď;nominatív
Autobusy;nominatív;Autobusy;nominatív
sú;;sú;
pohodlím;inštrumentál;pohodlím;inštrumentál
na;;na;
európskej;genitív;európskej;lokál
úrovni;datív;úrovni;lokál
Iných;genitív;Iných;akuzatív
stopárov;genitív;stopárov;akuzatív
som;;som;
tu;;tu;
zatiaľ;;zatiaľ;
ešte;;ešte;
Ako;;Ako;
dopadol;;dopadol;
Bohužiaľ;;Bohužiaľ;
Silný;nominatív;Silný;nominatív
vietor;nominatív;vietor;nominatív
ma;genitív;ma;akuzatív
posiela;;posiela;
späť;;späť;
na;;na;
vajíčko;nominatív;vajíčko;akuzatív
Na;;Na;
zastávke;datív;zastávke;lokál
na;;na;
Záhradkách;lokál;Záhradkách;lokál
nás;genitív;nás;akuzatív
čakal;;čakal;
veľmi;;veľmi;
zaujímavý;nominatív;zaujímavý;nominatív
pohľad;nominatív;pohľad;nominatív
Bežné;nominatív;Bežné;nominatív
prachovky;nominatív;prachovky;nominatív
naňho;akuzatív;naňho;akuzatív
Ja;nominatív;Ja;nominatív
som;;som;
chcela;;chcela;
vyhrávať;;vyhrávať;
A;;A;
vyhrávam;;vyhrávam;
slovenskej;genitív;slovenskej;genitív
kultúrnej;genitív;kultúrnej;genitív
histórie;nominatív;histórie;genitív
Od;genitív;Od;
tej;genitív;tej;genitív
chvíle;nominatív;chvíle;genitív
vstupuje;;vstupuje;
do;;do;
hry;nominatív;hry;genitív
slovenská;nominatív;slovenská;nominatív
časť;nominatív;časť;nominatív
Uhorska;genitív;Uhorska;genitív
Do;;Do;
slovenských;genitív;slovenských;genitív
častí;nominatív;častí;genitív
Uhorska;genitív;Uhorska;genitív
sa;akuzatív;sa;
vtedy;;vtedy;
utiahla;;utiahla;
jedna;nominatív;jedna;nominatív
časť;nominatív;časť;nominatív
českých;genitív;českých;genitív
protestantov;genitív;protestantov;genitív
a;nominatív;a;
tu;;tu;
našli;;našli;
v;akuzatív;v;
používaní;genitív;používaní;lokál
svoj;nominatív;svoj;akuzatív
vlastný;nominatív;vlastný;akuzatív
spisovný;nominatív;spisovný;akuzatív
jazyk;nominatív;jazyk;akuzatív
presne;;presne;
tak;;tak;
ako;;ako;
vo;akuzatív;vo;
svojej;genitív;svojej;lokál
českej;genitív;českej;lokál
vlasti;nominatív;vlasti;lokál
Podľa;genitív;Podľa;
princípu;genitív;princípu;genitív
siedmich;genitív;siedmich;genitív
slobodných;genitív;slobodných;genitív
umení;genitív;umení;genitív
prvým;datív;prvým;inštrumentál
stupňom;datív;stupňom;inštrumentál
je;;je;
gramatika;nominatív;gramatika;nominatív
Európska;nominatív;Európska;nominatív
únia;nominatív;únia;nominatív
čiže;;čiže;
veľkých;genitív;veľkých;genitív
bankoviek;genitív;bankoviek;genitív
na;;na;
drobné;nominatív;drobné;akuzatív
mince;nominatív;mince;akuzatív
Toto;nominatív;Toto;nominatív
hraníc;genitív;hraníc;genitív
je;;je;
veľmi;;veľmi;
príjemné;nominatív;príjemné;nominatív
pokiaľ;;pokiaľ;
ide;;ide;
o;;o;
poriadneho;genitív;poriadneho;akuzatív
občana;genitív;občana;akuzatív
ktorý;nominatív;ktorý;nominatív
cestuje;;cestuje;
za;genitív;za;
svojím;inštrumentál;svojím;inštrumentál
obchodom;datív;obchodom;inštrumentál
alebo;;alebo;
za;genitív;za;
svojou;inštrumentál;svojou;inštrumentál
dovolenkou;inštrumentál;dovolenkou;inštrumentál
Ľubomír;nominatív;Ľubomír;nominatív
Pojem;nominatív;Pojem;nominatív
zo;;zo;
začiatku;genitív;začiatku;genitív
storočia;nominatív;storočia;genitív
je;;je;
začiatok;nominatív;začiatok;nominatív
pojmu;genitív;pojmu;genitív
česko;;česko;
slovenský;nominatív;slovenský;nominatív
si;datív;si;
bol;genitív;bol;
vedomý;nominatív;vedomý;nominatív
že;;že;
meno;nominatív;meno;akuzatív
Slovákov;genitív;Slovákov;genitív
treba;;treba;
aj;;aj;
v;akuzatív;v;
latinčine;datív;latinčine;lokál
odlišovať;;odlišovať;
od;genitív;od;
všeobecného;genitív;všeobecného;genitív
názvu;genitív;názvu;genitív
a;nominatív;a;
vytvoril;;vytvoril;
nové;nominatív;nové;akuzatív
slovo;nominatív;slovo;akuzatív
Druhá;nominatív;Druhá;nominatív
inovácia;nominatív;inovácia;nominatív
je;;je;
v;akuzatív;v;
gramatickom;lokál;gramatickom;lokál
popise;lokál;popise;lokál
tohto;genitív;tohto;genitív
jazyka;genitív;jazyka;genitív
Obsiahly;nominatív;Obsiahly;akuzatív
vlastivedný;nominatív;vlastivedný;akuzatív
úvod;nominatív;úvod;akuzatív
k;nominatív;k;
gramatike;datív;gramatike;datív
napísal;;napísal;
o;;o;
generáciu;akuzatív;generáciu;akuzatív
starší;nominatív;starší;nominatív
Matej;nominatív;Matej;nominatív
V;;V;
každom;lokál;každom;lokál
prípade;lokál;prípade;lokál
aj;;aj;
text;nominatív;text;nominatív
jeho;nominatív;jeho;genitív
úvodu;genitív;úvodu;genitív
dal;;dal;
gramatike;datív;gramatike;datív
punc;nominatív;punc;akuzatív
najautoritatívnejšieho;genitív;najautoritatívnejšieho;genitív
zdroja;genitív;zdroja;genitív
poznania;nominatív;poznania;genitív
vtedajšieho;genitív;vtedajšieho;genitív
spisovného;genitív;spisovného;genitív
jazyka;genitív;jazyka;genitív
Čechov;genitív;Čechov;genitív
i;nominatív;i;
Slovákov;genitív;Slovákov;genitív
Táto;nominatív;Táto;nominatív
norma;nominatív;norma;nominatív
je;;je;
dodnes;;dodnes;
základom;datív;základom;inštrumentál
spisovnej;genitív;spisovnej;genitív
češtiny;nominatív;češtiny;genitív
Štúrovský;nominatív;Štúrovský;nominatív
nový;nominatív;nový;nominatív
slovenský;nominatív;slovenský;nominatív
spisovný;nominatív;spisovný;nominatív
jazyk;nominatív;jazyk;nominatív
má;;má;
niekoľko;nominatív;niekoľko;akuzatív
vrstiev;genitív;vrstiev;genitív
Radikálnou;inštrumentál;Radikálnou;inštrumentál
inováciou;inštrumentál;inováciou;inštrumentál
je;;je;
hláskoslovie;nominatív;hláskoslovie;nominatív
a;nominatív;a;
tvaroslovie;nominatív;tvaroslovie;nominatív
Ľubomír;nominatív;Ľubomír;nominatív
Profesor;nominatív;Profesor;nominatív
Eugen;nominatív;Eugen;nominatív
ktorý;nominatív;ktorý;nominatív
sa;akuzatív;sa;
dejinami;inštrumentál;dejinami;inštrumentál
spisovnej;genitív;spisovnej;genitív
slovenčiny;nominatív;slovenčiny;genitív
dlhé;nominatív;dlhé;akuzatív
roky;nominatív;roky;akuzatív
zaoberal;;zaoberal;
si;datív;si;
uvedomil;;uvedomil;
potrebu;akuzatív;potrebu;akuzatív
dať;;dať;
do;;do;
rúk;genitív;rúk;genitív
slovenskej;genitív;slovenskej;genitív
i;nominatív;i;
medzinárodnej;genitív;medzinárodnej;genitív
vedeckej;genitív;vedeckej;genitív
verejnosti;nominatív;verejnosti;genitív
dostatočne;;dostatočne;
prístupný;nominatív;prístupný;akuzatív
skutočný;nominatív;skutočný;akuzatív
text;nominatív;text;akuzatív
tohto;genitív;tohto;genitív
základného;genitív;základného;genitív
diela;nominatív;diela;genitív
Ľubomír;nominatív;Ľubomír;nominatív
Ľubomír;nominatív;Ľubomír;nominatív
profesor;nominatív;profesor;nominatív
slovanských;genitív;slovanských;genitív
jazykov;genitív;jazykov;genitív
Česko;nominatív;Česko;
slovenské;nominatív;slovenské;nominatív
kultúrne;;kultúrne;nominatív
kontinuum;nominatív;kontinuum;nominatív
Ku;datív;Ku;
konfliktom;datív;konfliktom;datív
a;nominatív;a;
nedorozumeniam;datív;nedorozumeniam;datív
výrazne;;výrazne;
prispelo;;prispelo;
aj;;aj;
to;nominatív;to;nominatív
že;;že;
sa;akuzatív;sa;
maďarské;nominatív;maďarské;nominatív
dá;;dá;
používať;;používať;
v;akuzatív;v;
oboch;genitív;oboch;lokál
týchto;genitív;týchto;lokál
významoch;lokál;významoch;lokál
To;nominatív;To;nominatív
malo;;malo;
obrovský;nominatív;obrovský;akuzatív
význam;nominatív;význam;akuzatív
v;akuzatív;v;
druhej;genitív;druhej;lokál
polovici;datív;polovici;lokál
storočia;nominatív;storočia;genitív
keď;;keď;
maďarizácia;nominatív;maďarizácia;nominatív
reálne;;reálne;
ohrozovala;;ohrozovala;
samotnú;akuzatív;samotnú;akuzatív
existenciu;akuzatív;existenciu;akuzatív
slovenského;genitív;slovenského;genitív
národa;genitív;národa;genitív
Ľubomír;nominatív;Ľubomír;nominatív
Mal;;Mal;
som;;som;
veľké;nominatív;veľké;akuzatív
potešenie;nominatív;potešenie;akuzatív
z;nominatív;z;
knižky;nominatív;knižky;genitív
Antona;genitív;Antona;genitív
Skalica;nominatív;Skalica;nominatív
moja;nominatív;moja;nominatív
láska;nominatív;láska;nominatív
osud;nominatív;osud;nominatív
a;nominatív;a;
Jeho;nominatív;Jeho;nominatív
obaja;nominatív;obaja;nominatív
starší;nominatív;starší;nominatív
bratia;nominatív;bratia;nominatív
išli;;išli;
do;;do;
škôl;genitív;škôl;genitív
a;nominatív;a;
mal;;mal;
prevziať;;prevziať;
obchod;nominatív;obchod;akuzatív
Intenzívne;;Intenzívne;
sa;akuzatív;sa;
pamätám;;pamätám;
na;;na;
prístavbu;akuzatív;prístavbu;akuzatív
javiska;genitív;javiska;genitív
k;nominatív;k;
cirkevnej;genitív;cirkevnej;datív
sieni;datív;sieni;datív
na;;na;
evanjelickej;genitív;evanjelickej;lokál
fare;datív;fare;lokál
Potom;;Potom;
prišiel;;prišiel;
koniec;nominatív;koniec;nominatív
vojny;nominatív;vojny;genitív
bolo;;bolo;
obnovené;nominatív;obnovené;nominatív
Československo;nominatív;Československo;nominatív
začali;;začali;
sa;akuzatív;sa;
celkom;;celkom;
iné;nominatív;iné;nominatív
pomery;nominatív;pomery;nominatív
Činnosť;nominatív;Činnosť;akuzatív
nášho;genitív;nášho;genitív
združenia;nominatív;združenia;genitív
zatisli;;zatisli;
do;;do;
pozadia;nominatív;pozadia;genitív
iné;nominatív;iné;nominatív
potreby;nominatív;potreby;nominatív
To;nominatív;To;nominatív
sa;akuzatív;sa;
menuje;;menuje;
iniciatívnosť;nominatív;iniciatívnosť;nominatív
a;nominatív;a;
Ľubomír;nominatív;Ľubomír;nominatív
ODCHODY;nominatív;ODCHODY;nominatív
A;;A;
návraty;nominatív;návraty;nominatív
ĽUBOMÍRA;nominatív;ĽUBOMÍRA;genitív
I;;I;
toho;genitív;toho;genitív
Slovensko;nominatív;Slovensko;nominatív
by;;by;
dnes;;dnes;
hovorí;;hovorí;
