Slovo;Slovný druh;Slovo2;Slovný druh2
Kde;Zameno;Kde;Zámeno
ta;Zameno;ta;Zámeno
ludska;Pridavne meno;ludska;Prídavné meno
dusa;Podstatne meno;dusa;Podstatné meno
drieme;Sloveso;drieme;Sloveso
?;Interpunkcia;?;Interpunkcia
Preco;Zameno;Preco;Podstatné meno
to;Zameno;to;Zámeno
tu;Castica;tu;Zámeno
pisem;Sloveso;pisem;Zámeno
?;Interpunkcia;?;Interpunkcia
Preco;Zameno;Preco;Podstatné meno
je;Sloveso;je;Sloveso
dnesny;Pridavne meno;dnesny;Prídavné meno
humor;Podstatne meno;humor;Podstatné meno
suchy;Pridavne meno;suchy;Podstatné meno
?;Interpunkcia;?;Interpunkcia
Aby;Spojka;Aby;Spojka
sa;Zvratne zameno;sa;Zvratné zámeno
ludia;Podstatne meno;ludia;Podstatné meno
mohli;Sloveso;mohli;Sloveso
smiat;Sloveso;smiat;Číslovka
.;Interpunkcia;.;Interpunkcia
Preco;Zameno;Preco;Príslovka
niesme;Sloveso;niesme;Sloveso
prirodzeni;Pridavne meno;prirodzeni;Prídavné meno
?;Interpunkcia;?;Interpunkcia
Aby;Spojka;Aby;Spojka
nas;Zameno;nas;Častica
neobvinili;Sloveso;neobvinili;Sloveso
z;Predlozka;z;Predložka
farizejstva;Podstatne meno;farizejstva;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Preco;Zameno;Preco;Podstatné meno
existuje;Sloveso;existuje;Sloveso
laska;Podstatne meno;laska;Prídavné meno
?;Interpunkcia;?;Interpunkcia
Vhodna;Pridavne meno;Vhodna;Podstatné meno
je;Sloveso;je;Sloveso
paralela;Podstatne meno;paralela;Podstatné meno
z;Predlozka;z;Predložka
cias;Podstatne meno;cias;Podstatné meno
mojho;Zameno;mojho;Prídavné meno
stareho;Pridavne meno;stareho;Prídavné meno
otca;Podstatne meno;otca;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Spustili;Sloveso;Spustili;Sloveso
novu;Pridavne meno;novu;Podstatné meno
internetovu;Pridavne meno;internetovu;Prídavné meno
televiziu;Podstatne meno;televiziu;Podstatné meno
Brana;Podstatne meno;Brana;Podstatné meno
Krala;Podstatne meno;Krala;Sloveso
Lahka;Pridavne meno;Lahka;Príslovka
otazka;Podstatne meno;otazka;Prídavné meno
,;Interpunkcia;,;Interpunkcia
tazka;Pridavne meno;tazka;Podstatné meno
odpoved;Podstatne meno;odpoved;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Autobusy;Podstatne meno;Autobusy;Podstatné meno
su;Sloveso;su;Podstatné meno
pohodlim;Podstatne meno;pohodlim;Príčastie - Sloveso
na;Predlozka;na;Predložka
europskej;Pridavne meno;europskej;Prídavné meno
urovni;Podstatne meno;urovni;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Inych;Zameno;Inych;Prídavné meno
stoparov;Podstatne meno;stoparov;Podstatné meno
som;Sloveso;som;Sloveso
tu;Zameno;tu;Zámeno
zatial;Zameno;zatial;Sloveso
este;Prislovka;este;Príslovka
nevidel;Sloveso;nevidel;Sloveso
.;Interpunkcia;.;Interpunkcia
Ako;Spojka;Ako;Zámeno
dopadol;Sloveso;dopadol;Sloveso
?;Interpunkcia;?;Interpunkcia
Bohuzial;Castica;Bohuzial;Sloveso
.;Interpunkcia;.;Interpunkcia
Strong;Citovy vyraz;Strong;Citový výraz
wind;Citovy vyraz;wind;Citový výraz
!;Interpunkcia;!;Interpunkcia
Silny;Pridavne meno;Silny;Prídavné meno
vietor;Podstatne meno;vietor;Podstatné meno
!;Interpunkcia;!;Interpunkcia
"""";Interpunkcia;;
ma;Zameno;ma;Zámeno
posiela;Sloveso;posiela;Sloveso
spat;Prislovka;spat;Podstatné meno
na;Predlozka;na;Predložka
"""";Interpunkcia;;
vajicko;Podstatne meno;vajicko;Neurčiteľný slovný druh
"""";Interpunkcia;;
.;Interpunkcia;.;Interpunkcia
Na;Predlozka;Na;Predložka
zastavke;Podstatne meno;zastavke;Podstatné meno
na;Predlozka;na;Predložka
Zahradkach;Podstatne meno;Zahradkach;Podstatné meno
nas;Zameno;nas;Zvratné zámeno
cakal;Sloveso;cakal;Sloveso
velmi;Prislovka;velmi;Podstatné meno
zaujimavy;Pridavne meno;zaujimavy;Podstatné meno
pohlad;Podstatne meno;pohlad;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Bezne;Pridavne meno;Bezne;Prídavné meno
prachovky;Podstatne meno;prachovky;Podstatné meno
nanho;Zameno;nanho;Prídavné meno
nestacia;Sloveso;nestacia;Podstatné meno
"""";Interpunkcia;"""";Interpunkcia
.;Interpunkcia;.;Interpunkcia
Ja;Zameno;Ja;Zámeno
som;Sloveso;som;Sloveso
chcela;Sloveso;chcela;Sloveso
vyhravat;Sloveso;vyhravat;Podstatné meno
.;Interpunkcia;.;Interpunkcia
A;Spojka;A;Častica
vyhravam;Sloveso;vyhravam;Sloveso
.;Interpunkcia;.;Interpunkcia
slovenskej;Pridavne meno;slovenskej;Prídavné meno
kulturnej;Pridavne meno;kulturnej;Prídavné meno
historie;Podstatne meno;historie;Podstatné meno
Od;Predlozka;Od;Predložka
tej;Zameno;tej;Zámeno
chvile;Podstatne meno;chvile;Podstatné meno
vstupuje;Sloveso;vstupuje;Sloveso
do;Predlozka;do;Predložka
hry;Podstatne meno;hry;Podstatné meno
slovenska;Pridavne meno;slovenska;Podstatné meno
cast;Podstatne meno;cast;Podstatné meno
Uhorska;Podstatne meno;Uhorska;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Do;Predlozka;Do;Predložka
slovenskych;Pridavne meno;slovenskych;Prídavné meno
casti;Podstatne meno;casti;Podstatné meno
Uhorska;Podstatne meno;Uhorska;Podstatné meno
sa;Zvratne zameno;sa;Zvratné zámeno
vtedy;Zameno;vtedy;Zámeno
utiahla;Sloveso;utiahla;Sloveso
jedna;Cislovka;jedna;Číslovka
cast;Podstatne meno;cast;Podstatné meno
ceskych;Pridavne meno;ceskych;Prídavné meno
emigrovanych;Pricastie - Sloveso;emigrovanych;Prídavné meno
protestantov;Podstatne meno;protestantov;Podstatné meno
a;Spojka;a;Spojka
tu;Zameno;tu;Zámeno
nasli;Sloveso;nasli;Sloveso
v;Predlozka;v;Predložka
pouzivani;Podstatne meno;pouzivani;Podstatné meno
svoj;Zameno;svoj;Zámeno
vlastny;Pridavne meno;vlastny;Prídavné meno
spisovny;Pridavne meno;spisovny;Prídavné meno
jazyk;Podstatne meno;jazyk;Podstatné meno
presne;Castica;presne;Príslovka
tak;Zameno;tak;Zámeno
,;Interpunkcia;,;Interpunkcia
ako;Zameno;ako;Spojka
vo;Predlozka;vo;Predložka
svojej;Zameno;svojej;Zámeno
ceskej;Pridavne meno;ceskej;Prídavné meno
vlasti;Podstatne meno;vlasti;Podstatné meno
