Slovo;Pád;Slovo2;Pád2
Kde;;;
tá;nominatív;;nominatív
ľudská;nominatív;;nominatív
duša;nominatív;;nominatív
drieme;;;
?;;;
Prečo;;;
to;akuzatív;;akuzatív
tu;;;
píšem;;;
?;;;
Prečo;;;
je;;;
dnešný;nominatív;;nominatív
humor;nominatív;;nominatív
suchý;nominatív;;nominatív
?;;;
Aby;;;
sa;;;
ľudia;nominatív;;nominatív
mohli;;;
smiať;;;
.;;;
Prečo;;;
niesme;;;
prirodzení;nominatív;;nominatív
?;;;
Aby;;;
nás;akuzatív;;akuzatív
neobvinili;;;
z;;;
farizejstva;genitív;;genitív
.;;;
Prečo;;;
existuje;;;
láska;nominatív;;nominatív
?;;;
Vhodná;nominatív;;nominatív
je;;;
paralela;nominatív;;nominatív
z;;;
čias;genitív;;genitív
môjho;genitív;;genitív
starého;genitív;;genitív
otca;genitív;;genitív
.;;;
Spustili;;;
novú;akuzatív;;akuzatív
internetovú;akuzatív;;akuzatív
televíziu;akuzatív;;akuzatív
Braňa;genitív;;genitív
Krála;genitív;;genitív
Ľahká;nominatív;;nominatív
otázka;nominatív;;nominatív
,;;;
ťažká;nominatív;;nominatív
odpoveď;nominatív;;nominatív
.;;;
Autobusy;nominatív;;nominatív
sú;;;
pohodlím;inštrumentál;;inštrumentál
na;;;
európskej;lokál;;lokál
úrovni;lokál;;lokál
.;;;
Iných;akuzatív;;akuzatív
stopárov;akuzatív;;akuzatív
som;;;
tu;;;
zatiaľ;;;
ešte;;;
nevidel;;;
.;;;
Ako;;;
dopadol;;;
?;;;
Bohužiaľ;;;
.;;;
Strong;;;
wind;;;
!;;;
Silný;nominatív;;nominatív
vietor;nominatív;;nominatív
!;;;
"""";;;
ma;akuzatív;;akuzatív
posiela;;;
späť;;;
na;;;
"""";;;
vajíčko;akuzatív;;akuzatív
"""";;;
.;;;
Na;;;
zastávke;lokál;;lokál
na;;;
Záhradkách;lokál;;lokál
nás;akuzatív;;akuzatív
čakal;;;
veľmi;;;
zaujímavý;nominatív;;nominatív
pohľad;nominatív;;nominatív
.;;;
Bežné;nominatív;;nominatív
prachovky;nominatív;;nominatív
na;;;
neho;akuzatív;;
nestačia;;;
”;;;
.;;;
Ja;nominatív;;nominatív
som;;;
chcela;;;
vyhrávať;;;
.;;;
A;;;
vyhrávam;;;
.;;;
slovenskej;genitív;;genitív
kultúrnej;genitív;;genitív
histórie;genitív;;genitív
Od;;;
tej;genitív;;genitív
chvíle;genitív;;genitív
vstupuje;;;
do;;;
hry;genitív;;genitív
slovenská;nominatív;;nominatív
časť;nominatív;;nominatív
Uhorska;genitív;;genitív
.;;;
Do;;;
slovenských;genitív;;genitív
častí;genitív;;genitív
Uhorska;genitív;;genitív
sa;;;
vtedy;;;
utiahla;;;
jedna;nominatív;;nominatív
časť;nominatív;;nominatív
českých;genitív;;genitív
emigrovaných;genitív;;genitív
protestantov;genitív;;genitív
a;;;
tu;;;
našli;;;
v;;;
používaní;lokál;;lokál
svoj;akuzatív;;akuzatív
vlastný;akuzatív;;akuzatív
spisovný;akuzatív;;akuzatív
jazyk;akuzatív;;akuzatív
presne;;;
tak;;;
,;;;
ako;;;
vo;;;
svojej;lokál;;lokál
českej;lokál;;lokál
vlasti;lokál;;lokál
.;;;
Podľa;;;
princípu;genitív;;genitív
siedmich;genitív;;genitív
slobodných;genitív;;genitív
umení;genitív;;genitív
prvým;inštrumentál;;inštrumentál
stupňom;inštrumentál;;inštrumentál
trivia;genitív;;genitív
je;;;
gramatika;nominatív;;nominatív
.;;;
Európska;nominatív;;nominatív
únia;nominatív;;nominatív
,;;;
čiže;;;
rozmieňanie;nominatív;;nominatív
veľkých;genitív;;genitív
bankoviek;genitív;;genitív
na;;;
drobné;akuzatív;;akuzatív
mince;akuzatív;;akuzatív
.;;;
Toto;nominatív;;nominatív
stieranie;nominatív;;nominatív
hraníc;genitív;;genitív
je;;;
veľmi;;;
príjemné;nominatív;;nominatív
,;;;
pokiaľ;;;
ide;;;
o;;;
poriadneho;akuzatív;;akuzatív
občana;akuzatív;;akuzatív
