Slovo;Pád;Slovo2;Pád2
Kde;;Kde;
tá;nominatív;tá;nominatív
ľudská;nominatív;ľudská;nominatív
duša;nominatív;duša;nominatív
drieme;;drieme;
?;;?;
Prečo;;Prečo;
to;akuzatív;to;akuzatív
tu;;tu;
píšem;;píšem;
?;;?;
Prečo;;Prečo;
je;;je;
dnešný;nominatív;dnešný;nominatív
humor;nominatív;humor;nominatív
suchý;nominatív;suchý;nominatív
?;;?;
Aby;;Aby;
sa;;sa;
ľudia;nominatív;ľudia;nominatív
mohli;;mohli;
smiať;;smiať;
.;;.;
Prečo;;Prečo;
niesme;;niesme;
prirodzení;nominatív;prirodzení;nominatív
?;;?;
Aby;;Aby;
nás;akuzatív;nás;akuzatív
neobvinili;;neobvinili;
z;;z;
farizejstva;genitív;farizejstva;genitív
.;;.;
Prečo;;Prečo;
existuje;;existuje;
láska;nominatív;láska;nominatív
?;;?;
Vhodná;nominatív;Vhodná;nominatív
je;;je;
paralela;nominatív;paralela;nominatív
z;;z;
čias;genitív;čias;genitív
môjho;genitív;môjho;genitív
starého;genitív;starého;genitív
otca;genitív;otca;genitív
.;;.;
Spustili;;Spustili;
novú;akuzatív;novú;akuzatív
internetovú;akuzatív;internetovú;akuzatív
televíziu;akuzatív;televíziu;akuzatív
Braňa;genitív;Braňa;genitív
Krála;genitív;Krála;genitív
Ľahká;nominatív;Ľahká;nominatív
otázka;nominatív;otázka;nominatív
,;;,;
ťažká;nominatív;ťažká;nominatív
odpoveď;nominatív;odpoveď;nominatív
.;;.;
Autobusy;nominatív;Autobusy;nominatív
sú;;sú;
pohodlím;inštrumentál;pohodlím;inštrumentál
na;;na;
európskej;lokál;európskej;lokál
úrovni;lokál;úrovni;lokál
.;;.;
Iných;akuzatív;Iných;akuzatív
stopárov;akuzatív;stopárov;akuzatív
som;;som;
tu;;tu;
zatiaľ;;zatiaľ;
ešte;;ešte;
nevidel;;nevidel;
.;;.;
Ako;;Ako;
dopadol;;dopadol;
?;;?;
Bohužiaľ;;Bohužiaľ;
.;;.;
Strong;;Strong;
wind;;wind;
!;;!;
Silný;nominatív;Silný;nominatív
vietor;nominatív;vietor;nominatív
!;;!;
"""";;"""";
ma;akuzatív;ma;akuzatív
posiela;;posiela;
späť;;späť;
na;;na;
"""";;"""";
vajíčko;akuzatív;vajíčko;akuzatív
"""";;"""";
.;;.;
Na;;Na;
zastávke;lokál;zastávke;lokál
na;;na;
Záhradkách;lokál;Záhradkách;lokál
nás;akuzatív;nás;akuzatív
čakal;;čakal;
veľmi;;veľmi;
zaujímavý;nominatív;zaujímavý;nominatív
pohľad;nominatív;pohľad;nominatív
.;;.;
Bežné;nominatív;Bežné;nominatív
prachovky;nominatív;prachovky;nominatív
naňho;akuzatív;naňho;akuzatív
nestačia;;nestačia;
”;;”;
.;;.;
Ja;nominatív;Ja;nominatív
som;;som;
chcela;;chcela;
vyhrávať;;vyhrávať;
.;;.;
A;;A;
vyhrávam;;vyhrávam;
.;;.;
slovenskej;genitív;slovenskej;genitív
kultúrnej;genitív;kultúrnej;genitív
histórie;genitív;histórie;genitív
Od;;Od;
tej;genitív;tej;genitív
chvíle;genitív;chvíle;genitív
vstupuje;;vstupuje;
do;;do;
hry;genitív;hry;genitív
slovenská;nominatív;slovenská;nominatív
časť;nominatív;časť;nominatív
Uhorska;genitív;Uhorska;genitív
.;;.;
Do;;Do;
slovenských;genitív;slovenských;genitív
častí;genitív;častí;genitív
Uhorska;genitív;Uhorska;genitív
sa;;sa;
vtedy;;vtedy;
utiahla;;utiahla;
jedna;nominatív;jedna;nominatív
časť;nominatív;časť;nominatív
českých;genitív;českých;genitív
emigrovaných;genitív;emigrovaných;genitív
protestantov;genitív;protestantov;genitív
a;;a;
tu;;tu;
našli;;našli;
v;;v;
používaní;lokál;používaní;lokál
svoj;akuzatív;svoj;akuzatív
vlastný;akuzatív;vlastný;akuzatív
spisovný;akuzatív;spisovný;akuzatív
jazyk;akuzatív;jazyk;akuzatív
presne;;presne;
tak;;tak;
,;;,;
ako;;ako;
vo;;vo;
svojej;lokál;svojej;lokál
českej;lokál;českej;lokál
vlasti;lokál;vlasti;lokál
.;;.;
Podľa;;Podľa;
princípu;genitív;princípu;genitív
siedmich;genitív;siedmich;genitív
slobodných;genitív;slobodných;genitív
umení;genitív;umení;genitív
prvým;inštrumentál;prvým;inštrumentál
stupňom;inštrumentál;stupňom;inštrumentál
trivia;genitív;trivia;genitív
je;;je;
gramatika;nominatív;gramatika;nominatív
.;;.;
Európska;nominatív;Európska;nominatív
únia;nominatív;únia;nominatív
,;;,;
čiže;;čiže;
rozmieňanie;nominatív;rozmieňanie;nominatív
veľkých;genitív;veľkých;genitív
bankoviek;genitív;bankoviek;genitív
na;;na;
drobné;akuzatív;drobné;akuzatív
mince;akuzatív;mince;akuzatív
.;;.;
Toto;nominatív;Toto;nominatív
stieranie;nominatív;stieranie;nominatív
hraníc;genitív;hraníc;genitív
je;;je;
veľmi;;veľmi;
príjemné;nominatív;príjemné;nominatív
,;;,;
pokiaľ;;pokiaľ;
ide;;ide;
o;;o;
poriadneho;akuzatív;poriadneho;akuzatív
občana;akuzatív;občana;akuzatív
,;;,;
ktorý;nominatív;ktorý;nominatív
cestuje;;cestuje;
za;;za;
svojím;inštrumentál;svojím;inštrumentál
obchodom;inštrumentál;obchodom;inštrumentál
alebo;;alebo;
za;;za;
svojou;inštrumentál;svojou;inštrumentál
dovolenkou;inštrumentál;dovolenkou;inštrumentál
.;;.;
Ľubomír;nominatív;Ľubomír;nominatív
Ďurovič;nominatív;Ďurovič;nominatív
Pojem;nominatív;Pojem;nominatív
slavico;;slavico;
-;;-;
bohemicus;;bohemicus;
zo;;zo;
začiatku;genitív;začiatku;genitív
XVIII;;XVIII;
.;;.;
storočia;genitív;storočia;genitív
je;;je;
začiatok;nominatív;začiatok;nominatív
pojmu;genitív;pojmu;genitív
česko;;česko;
(;;(;
-;;-;
);;);
slovenský;nominatív;slovenský;nominatív
.;;.;
Krman;nominatív;Krman;nominatív
si;;si;
bol;;bol;
vedomý;nominatív;vedomý;nominatív
,;;,;
že;;že;
meno;akuzatív;meno;akuzatív
Slovákov;genitív;Slovákov;genitív
treba;;treba;
aj;;aj;
v;;v;
latinčine;lokál;latinčine;lokál
odlišovať;;odlišovať;
od;;od;
všeobecného;genitív;všeobecného;genitív
názvu;genitív;názvu;genitív
slavi;;slavi;
a;;a;
vytvoril;;vytvoril;
nové;akuzatív;nové;akuzatív
slovo;akuzatív;slovo;akuzatív
slovacii;;slovacii;
.;;.;
Druhá;nominatív;Druhá;nominatív
Doležalova;nominatív;Doležalova;nominatív
inovácia;nominatív;inovácia;nominatív
je;;je;
v;;v;
gramatickom;lokál;gramatickom;lokál
popise;lokál;popise;lokál
tohto;genitív;tohto;genitív
jazyka;genitív;jazyka;genitív
.;;.;
Obsiahly;akuzatív;Obsiahly;akuzatív
vlastivedný;akuzatív;vlastivedný;akuzatív
úvod;akuzatív;úvod;akuzatív
(;;(;
Praefatio;;Praefatio;
);;);
k;;k;
Doležalovej;datív;Doležalovej;datív
gramatike;datív;gramatike;datív
napísal;;napísal;
o;;o;
generáciu;akuzatív;generáciu;akuzatív
starší;nominatív;starší;nominatív
Matej;nominatív;Matej;nominatív
Bel;nominatív;Bel;nominatív
.;;.;
V;;V;
každom;lokál;každom;lokál
prípade;lokál;prípade;lokál
aj;;aj;
text;nominatív;text;nominatív
jeho;genitív;jeho;genitív
úvodu;genitív;úvodu;genitív
dal;;dal;
Doležalovej;datív;Doležalovej;datív
gramatike;datív;gramatike;datív
punc;akuzatív;punc;akuzatív
najautoritatívnejšieho;genitív;najautoritatívnejšieho;genitív
zdroja;genitív;zdroja;genitív
poznania;genitív;poznania;genitív
vtedajšieho;genitív;vtedajšieho;genitív
spisovného;genitív;spisovného;genitív
jazyka;genitív;jazyka;genitív
Čechov;genitív;Čechov;genitív
i;;i;
Slovákov;genitív;Slovákov;genitív
.;;.;
Táto;nominatív;Táto;nominatív
kralická;nominatív;kralická;nominatív
norma;nominatív;norma;nominatív
je;;je;
dodnes;;dodnes;
základom;inštrumentál;základom;inštrumentál
spisovnej;genitív;spisovnej;genitív
češtiny;genitív;češtiny;genitív
.;;.;
Štúrovský;nominatív;Štúrovský;nominatív
nový;nominatív;nový;nominatív
slovenský;nominatív;slovenský;nominatív
spisovný;nominatív;spisovný;nominatív
jazyk;nominatív;jazyk;nominatív
má;;má;
niekoľko;akuzatív;niekoľko;akuzatív
vrstiev;genitív;vrstiev;genitív
.;;.;
Radikálnou;inštrumentál;Radikálnou;inštrumentál
inováciou;inštrumentál;inováciou;inštrumentál
je;;je;
hláskoslovie;nominatív;hláskoslovie;nominatív
a;;a;
tvaroslovie;nominatív;tvaroslovie;nominatív
.;;.;
Ľubomír;nominatív;Ľubomír;nominatív
Ďurovič;nominatív;Ďurovič;nominatív
Profesor;nominatív;Profesor;nominatív
Eugen;nominatív;Eugen;nominatív
Jóna;nominatív;Jóna;nominatív
,;;,;
ktorý;nominatív;ktorý;nominatív
sa;;sa;
dejinami;inštrumentál;dejinami;inštrumentál
spisovnej;genitív;spisovnej;genitív
slovenčiny;genitív;slovenčiny;genitív
dlhé;akuzatív;dlhé;akuzatív
roky;akuzatív;roky;akuzatív
zaoberal;;zaoberal;
,;;,;
si;;si;
uvedomil;;uvedomil;
potrebu;akuzatív;potrebu;akuzatív
dať;;dať;
do;;do;
rúk;genitív;rúk;genitív
slovenskej;genitív;slovenskej;genitív
i;;i;
medzinárodnej;genitív;medzinárodnej;genitív
vedeckej;genitív;vedeckej;genitív
verejnosti;genitív;verejnosti;genitív
dostatočne;;dostatočne;
prístupný;akuzatív;prístupný;akuzatív
skutočný;akuzatív;skutočný;akuzatív
text;akuzatív;text;akuzatív
tohto;genitív;tohto;genitív
základného;genitív;základného;genitív
diela;genitív;diela;genitív
.;;.;
Ľubomír;nominatív;Ľubomír;nominatív
Ďurovič;nominatív;Ďurovič;nominatív
Ľubomír;nominatív;Ľubomír;nominatív
Ďurovič;nominatív;Ďurovič;nominatív
profesor;nominatív;profesor;nominatív
slovanských;genitív;slovanských;genitív
jazykov;genitív;jazykov;genitív
Česko;;Česko;
-;;-;
slovenské;nominatív;slovenské;nominatív
kultúrne;nominatív;kultúrne;nominatív
kontinuum;nominatív;kontinuum;nominatív
Ku;;Ku;
konfliktom;datív;konfliktom;datív
a;;a;
nedorozumeniam;datív;nedorozumeniam;datív
výrazne;;výrazne;
prispelo;;prispelo;
aj;;aj;
to;nominatív;to;nominatív
,;;,;
že;;že;
sa;;sa;
maďarské;nominatív;maďarské;nominatív
„;;„;
nemzet;;nemzet;
“;;“;
dá;;dá;
používať;;používať;
v;;v;
oboch;lokál;oboch;lokál
týchto;lokál;týchto;lokál
významoch;lokál;významoch;lokál
.;;.;
To;nominatív;To;nominatív
malo;;malo;
obrovský;akuzatív;obrovský;akuzatív
národnozáchovný;akuzatív;národnozáchovný;akuzatív
význam;akuzatív;význam;akuzatív
v;;v;
druhej;lokál;druhej;lokál
polovici;lokál;polovici;lokál
XIX;;XIX;
.;;.;
storočia;genitív;storočia;genitív
,;;,;
keď;;keď;
maďarizácia;nominatív;maďarizácia;nominatív
reálne;;reálne;
ohrozovala;;ohrozovala;
samotnú;akuzatív;samotnú;akuzatív
existenciu;akuzatív;existenciu;akuzatív
slovenského;genitív;slovenského;genitív
národa;genitív;národa;genitív
.;;.;
Ľubomír;nominatív;Ľubomír;nominatív
Ďurovič;nominatív;Ďurovič;nominatív
Mal;;Mal;
som;;som;
veľké;akuzatív;veľké;akuzatív
potešenie;akuzatív;potešenie;akuzatív
z;;z;
knižky;genitív;knižky;genitív
Antona;genitív;Antona;genitív
Dinku;genitív;Dinku;genitív
Skalica;nominatív;Skalica;nominatív
–;;–;
moja;nominatív;moja;nominatív
láska;nominatív;láska;nominatív
,;;,;
