Slovo;Rod;Slovo2;Rod2
Kde;;Kde;
tá;ženský;tá;ženský
ľudská;ženský;ľudská;ženský
duša;ženský;duša;ženský
drieme;;drieme;
?;;?;
Prečo;;Prečo;
to;stredný;to;stredný
tu;;tu;
píšem;;píšem;
?;;?;
Prečo;;Prečo;
je;;je;
dnešný;mužský neživotný;dnešný;mužský neživotný
humor;mužský neživotný;humor;mužský neživotný
suchý;mužský neživotný;suchý;mužský neživotný
?;;?;
Aby;;Aby;
sa;;sa;
ľudia;mužský životný;ľudia;mužský životný
mohli;mužský životný;mohli;mužský životný
smiať;;smiať;
.;;.;
Prečo;;Prečo;
niesme;;niesme;
prirodzení;mužský životný;prirodzení;mužský životný
?;;?;
Aby;;Aby;
nás;všeobecný;nás;všeobecný
neobvinili;mužský životný;neobvinili;mužský životný
z;;z;
farizejstva;stredný;farizejstva;stredný
.;;.;
Prečo;;Prečo;
existuje;;existuje;
láska;ženský;láska;ženský
?;;?;
Vhodná;ženský;Vhodná;ženský
je;;je;
paralela;ženský;paralela;ženský
z;;z;
čias;mužský neživotný;čias;mužský neživotný
môjho;mužský životný;môjho;mužský životný
starého;mužský životný;starého;mužský životný
otca;mužský životný;otca;mužský životný
.;;.;
Spustili;mužský životný;Spustili;mužský životný
novú;ženský;novú;ženský
internetovú;ženský;internetovú;ženský
televíziu;ženský;televíziu;ženský
Braňa;mužský životný;Braňa;mužský životný
Krála;mužský životný;Krála;mužský životný
Ľahká;ženský;Ľahká;ženský
otázka;ženský;otázka;ženský
,;;,;
ťažká;ženský;ťažká;ženský
odpoveď;ženský;odpoveď;ženský
.;;.;
Autobusy;mužský neživotný;Autobusy;mužský neživotný
sú;;sú;
pohodlím;stredný;pohodlím;stredný
na;;na;
európskej;ženský;európskej;ženský
úrovni;ženský;úrovni;ženský
.;;.;
Iných;mužský životný;Iných;mužský životný
stopárov;mužský životný;stopárov;mužský životný
som;;som;
tu;;tu;
zatiaľ;;zatiaľ;
ešte;;ešte;
nevidel;mužský životný;nevidel;mužský životný
.;;.;
Ako;;Ako;
dopadol;mužský životný;dopadol;mužský neživotný
?;;?;
Bohužiaľ;;Bohužiaľ;
.;;.;
Strong;;Strong;
wind;;wind;
!;;!;
"""";;;
Silný;mužský neživotný;Silný;mužský neživotný
vietor;mužský neživotný;vietor;mužský neživotný
!;;!;
"	""";;;
ma;všeobecný;ma;všeobecný
posiela;;posiela;
späť;;späť;
na;;na;
"""";;"""";
vajíčko;stredný;vajíčko;stredný
"""";;"""";
.;;.;
Na;;Na;
zastávke;ženský;zastávke;ženský
na;;na;
Záhradkách;ženský;Záhradkách;ženský
nás;všeobecný;nás;všeobecný
čakal;mužský neživotný;čakal;mužský neživotný
veľmi;;veľmi;
zaujímavý;mužský neživotný;zaujímavý;mužský neživotný
pohľad;mužský neživotný;pohľad;mužský neživotný
.;;.;
Bežné;ženský;Bežné;ženský
prachovky;ženský;prachovky;ženský
na;;;
neho;mužský životný;;
nestačia;;nestačia;
”;;”;
.;;.;
Ja;všeobecný;Ja;všeobecný
som;;som;
chcela;ženský;chcela;ženský
vyhrávať;;vyhrávať;
.;;.;
A;;A;
vyhrávam;;vyhrávam;
.;;.;
slovenskej;ženský;slovenskej;ženský
kultúrnej;ženský;kultúrnej;ženský
histórie;ženský;histórie;ženský
Od;;Od;
