Slovo;POSTAG;Slovo2;POSTAG2
Kde;PD;Kde;PD
tá;PFfs1;tá;PFfs1
ľudská;AAfs1x;ľudská;AAfs1x
duša;SSfs1;duša;SSfs1
drieme;VKesc+;drieme;VKesc+
?;SENT;?;Z
Prečo;PD;Prečo;PD
to;PFns4;to;PFns4
tu;PD;tu;T
píšem;VKesa+;píšem;VKesa+
?;SENT;?;Z
Prečo;PD;Prečo;PD
je;VKesc+;je;VKesc+
dnešný;AAis1x;dnešný;AAis1x
humor;SSis1;humor;SSis1
suchý;AAis1x;suchý;AAis1x
?;SENT;?;Z
Aby;OY;Aby;OY
sa;R;sa;R
ľudia;SSmp1;ľudia;SSmp1
mohli;VLepcm+;mohli;VLepcm+
smiať;VIe+;smiať;VIe+
.;SENT;.;Z
Prečo;PD;Prečo;PD
niesme;VKepa-;niesme;VKepa-:q
prirodzení;AAmp1x;prirodzení;AAmp1x
?;SENT;?;Z
Aby;OY;Aby;OY
nás;PPhp4;nás;PPhp4
neobvinili;VLdpcm-;neobvinili;VLdpcm-
z;Eu2;z;Eu2
farizejstva;SSns2;farizejstva;SSns2
.;SENT;.;Z
Prečo;PD;Prečo;PD
existuje;VKesc+;existuje;VKesc+
láska;SSfs1;láska;SSfs1
?;SENT;?;Z
Vhodná;AAfs1x;Vhodná;AAfs1x
je;VKesc+;je;VKesc+
paralela;SSfs1;paralela;SSfs1
z;Eu2;z;Eu2
čias;SSip2;čias;SSip2
môjho;PFms2;môjho;PFms2
starého;AAms2x;starého;AAms2x
otca;SSms2;otca;SSms2
.;SENT;.;Z
Spustili;VLdpcm+;Spustili;VLdpcm+
novú;AAfs4x;novú;AAfs4x
internetovú;AAfs4x;internetovú;AAfs4x
televíziu;SSfs4;televíziu;SSfs4
Braňa;SSms2:r;Braňa;SSms2:r
Krála;SSms2:r;Krála;SSms2:rq
Ľahká;AAfs1x;Ľahká;AAfs1x
otázka;SSfs1;otázka;SSfs1
,;Z;,;Z
ťažká;AAfs1x;ťažká;AAfs1x
odpoveď;SSfs1;odpoveď;SSfs1
.;SENT;.;Z
Autobusy;SSip1;Autobusy;SSip1
sú;VKepc+;sú;VKepc+
pohodlím;SSns7;pohodlím;SSns7
na;Eu6;na;Eu6
európskej;AAfs6x;európskej;AAfs6x
úrovni;SSfs6;úrovni;SSfs6
.;SENT;.;Z
Iných;PAmp4;Iných;PAmp4
stopárov;SSmp4;stopárov;SSmp4
som;VKesa+;som;VKesa+
tu;PD;tu;PD
zatiaľ;PD;zatiaľ;PD
ešte;T;ešte;Dx
nevidel;VLescm-;nevidel;VLesam-
.;SENT;.;Z
Ako;O;Ako;O
dopadol;VLdsci+;dopadol;VLdsci+
?;SENT;?;Z
Bohužiaľ;T;Bohužiaľ;T
.;SENT;.;Z
Strong;%;Strong;%
wind;%;wind;%
!;SENT;!;Z
Silný;AAis1x;Silný;AAis1x:r
vietor;SSis1;vietor;SSis1
!;SENT;!;Z
	Z	;;;
ma;PPhs4;ma;PPhs4
posiela;VKesc+;posiela;VKesc+
späť;Dx;späť;Dx
na;Eu4;na;Eu4
	Z	;;;
vajíčko;SSns4;vajíčko;SSns4
	Z	;;;
.;SENT;.;Z
Na;Eu6;Na;Eu6
zastávke;SSfs6;zastávke;SSfs6
na;Eu6;na;Eu6
Záhradkách;SSfp6:r;Záhradkách;SSfp6:r
nás;PPhp4;nás;PPhp4
čakal;VLesci+;čakal;VLesci+
veľmi;Dx;veľmi;Dx
zaujímavý;AAis1x;zaujímavý;AAis1x
pohľad;SSis1;pohľad;SSis1
.;SENT;.;Z
Bežné;AAfp1x;Bežné;AAfp1x
prachovky;SSfp1;prachovky;SSfp1
naňho;PFms4g;naňho;PFms4g
nestačia;VKjpc-;nestačia;VKjpc-
”;Z;”;Z
.;SENT;.;Z
Ja;PPhs1;Ja;PPhs1
som;VKesa+;som;VKesa+
chcela;VLesaf+;chcela;VLesaf+
vyhrávať;VIe+;vyhrávať;VIe+
.;SENT;.;Z
A;O;A;O
vyhrávam;VKesa+;vyhrávam;VKesa+
.;SENT;.;Z
slovenskej;AAfs2x;slovenskej;AAfs2x
kultúrnej;AAfs2x;kultúrnej;AAfs2x
histórie;SSfs2;histórie;SSfs2
Od;Eu2;Od;Eu2
tej;PFfs2;tej;PFfs2
chvíle;SSfs2;chvíle;SSfs2
vstupuje;VKesc+;vstupuje;VKesc+
do;Eu2;do;Eu2
hry;SSfs2;hry;SSfs2
slovenská;AAfs1x;slovenská;AAfs1x
časť;SSfs1;časť;SSfs1
Uhorska;SSns2:r;Uhorska;SSns2:r
.;SENT;.;Z
Do;Eu2;Do;Eu2
slovenských;AAfp2x;slovenských;AAfp2x
častí;SSfp2;častí;SSfp2
Uhorska;SSns2:r;Uhorska;SSns2:r
sa;R;sa;R
vtedy;PD;vtedy;PD
utiahla;VLdscf+;utiahla;VLdscf+
jedna;NFfs1;jedna;NFfs1
časť;SSfs1;časť;SSfs1
českých;AAmp2x;českých;AAmp2x
emigrovaných;Gtmp2x;emigrovaných;Gtmp2x
protestantov;SSmp2;protestantov;SSmp2
a;O;a;O
tu;PD;tu;PD
našli;VLdpcm+;našli;VLdpcm+
v;Eu6;v;Eu6
používaní;SSns6;používaní;SSns6
svoj;PFis4;svoj;PFis4
vlastný;AAis4x;vlastný;AAis4x
spisovný;AAis4x;spisovný;AAis4x
jazyk;SSis4;jazyk;SSis4
presne;Dx;presne;T
tak;PD;tak;PD
,;Z;,;Z
ako;O;ako;PD
vo;Ev6;vo;Ev6
svojej;PFfs6;svojej;PFfs6
českej;AAfs6x;českej;AAfs6x
vlasti;SSfs6;vlasti;SSfs6
.;SENT;.;Z
Podľa;Eu2;Podľa;Eu2
princípu;SSis2;princípu;SSis2
siedmich;NUnp2;siedmich;NUnp2
slobodných;AAnp2x;slobodných;AAnp2x
umení;SSnp2;umení;SSnp2
prvým;NAis7;prvým;NAis7
stupňom;SSis7;stupňom;SSis7
trivia;SSns2;trivia;SSns2
je;VKesc+;je;VKesc+
gramatika;SSfs1;gramatika;SSfs1
.;SENT;.;Z
Európska;AAfs1x:r;Európska;AAfs1x
únia;SSfs1;únia;SSfs1
,;Z;,;Z
čiže;O;čiže;O
rozmieňanie;SSns1;rozmieňanie;SSns1
veľkých;AAfp2x;veľkých;AAfp2x
bankoviek;SSfp2;bankoviek;SSfp2
na;Eu4;na;Eu4
drobné;AAfp4x;drobné;AAfp4x
mince;SSfp4;mince;SSfp4
.;SENT;.;Z
Toto;PFns1;Toto;PFns1
stieranie;SSns1;stieranie;SSns1
hraníc;SSfp2;hraníc;SSfp2
je;VKesc+;je;VKesc+
veľmi;Dx;veľmi;Dx
príjemné;AAns1x;príjemné;AAns1x
,;Z;,;Z
pokiaľ;O;pokiaľ;O
ide;VKesc+;ide;VKesc+
o;Eu4;o;Eu4
poriadneho;AAms4x;poriadneho;AAms4x
občana;SSms4;občana;SSms4
,;Z;,;Z
ktorý;PAms1;ktorý;PAms1
cestuje;VKesc+;cestuje;VKesc+
za;Eu7;za;Eu7
svojím;PFis7;svojím;PFis7
obchodom;SSis7;obchodom;SSis7
alebo;O;alebo;O
za;Eu7;za;Eu7
svojou;PFfs7;svojou;PFfs7
dovolenkou;SSfs7;dovolenkou;SSfs7
.;SENT;.;Z
Ľubomír;SSms1:r;Ľubomír;SSms1:r
Ďurovič;SSms1:r;Ďurovič;SSms1:r
Pojem;SSis1;Pojem;SSis1
slavico;%;slavico;%
-;Z;-;Z
bohemicus;%;bohemicus;%
zo;Ev2;zo;Ev2
začiatku;SSis2;začiatku;SSis2
XVIII;0;XVIII;0
